MACH_SER_NO,OCUR_TS,,SMU,PAYLD_WT,LD_TM,EMTY_STOP_TM,EMTY_TRAV_TM,EMTY_TRAV_DSTNC,LD_STOP_TM,LD_TRAV_TM,LD_TRAV_DSTNC,LD_PASS_CT,FUEL_USED_IN_CYC,SHFT_CT,OCUR_TS_L,OCAL
Truck 11,22-Jul-16,02.26.42.000000000 PM,23029.51944,357.4,96,117,343,2.8,64,488,2.8,4,82.33270704,68,23-Jul-16,01.26.42.000000000 AM
Truck 11,22-Jul-16,02.45.55.000000000 PM,23029.83972,352,110,65,313,2.7,69,460,2.8,4,81.38635408,65,23-Jul-16,01.45.55.000000000 AM
Truck 11,22-Jul-16,03.03.31.000000000 PM,23030.13333,364.8,98,228,283,2.5,71,489,2.8,4,82.33270704,61,23-Jul-16,02.03.31.000000000 AM
Truck 11,22-Jul-16,03.23.48.000000000 PM,23030.47139,332,112,145,270,2.7,69,536,3,4,85.1717659,65,23-Jul-16,02.23.48.000000000 AM
Truck 11,22-Jul-16,03.43.26.000000000 PM,23030.79861,381.2,112,110,393,2.7,59,498,2.8,3,86.59129533,66,23-Jul-16,02.43.26.000000000 AM
Truck 11,22-Jul-16,04.03.46.000000000 PM,23031.1375,347,113,4,293,2.8,57,465,3,4,80.91317761,62,23-Jul-16,03.03.46.000000000 AM
Truck 11,22-Jul-16,04.19.56.000000000 PM,23031.40694,352.3,106,149,331,2.8,64,522,3,3,87.06447181,74,23-Jul-16,03.19.56.000000000 AM
Truck 11,22-Jul-16,04.40.15.000000000 PM,23031.74556,364.8,99,121,332,2.8,62,481,2.8,4,81.38635408,64,23-Jul-16,03.40.15.000000000 AM
Truck 11,22-Jul-16,05.39.06.000000000 PM,23032.15,346.1,110,107,285,2.4,63,492,2.7,3,76.65458931,57,23-Jul-16,04.39.06.000000000 AM
Truck 11,22-Jul-16,05.57.27.000000000 PM,23032.45083,344.2,118,39,370,2.7,88,500,2.8,4,78.54729522,54,23-Jul-16,04.57.27.000000000 AM
Truck 11,22-Jul-16,06.16.47.000000000 PM,23032.77333,340.1,128,40,267,2.7,97,515,2.8,4,81.38635408,78,23-Jul-16,05.16.47.000000000 AM
Truck 11,22-Jul-16,06.34.56.000000000 PM,23033.07583,331.6,118,68,270,2.5,64,430,2.8,4,74.28870692,57,23-Jul-16,05.34.56.000000000 AM
Truck 11,22-Jul-16,06.51.24.000000000 PM,23033.35028,351.2,116,347,353,2.7,66,444,2.8,3,79.49364817,72,23-Jul-16,05.51.24.000000000 AM
Truck 11,22-Jul-16,07.14.23.000000000 PM,23033.73333,386,107,162,264,2.7,58,489,2.8,5,81.85953056,62,23-Jul-16,06.14.23.000000000 AM
Truck 11,22-Jul-16,07.33.08.000000000 PM,23034.04583,368.4,98,68,254,2.7,62,464,2.8,4,77.60094226,63,23-Jul-16,06.33.08.000000000 AM
Truck 11,22-Jul-16,07.49.33.000000000 PM,23034.31944,348.2,94,82,252,2.7,508,391,1.9,4,57.72753022,61,23-Jul-16,06.49.33.000000000 AM
Truck 11,22-Jul-16,08.28.04.000000000 PM,23034.67778,290.9,124,376,273,1.6,63,303,1.7,4,51.10305954,53,23-Jul-16,07.28.04.000000000 AM
Truck 11,22-Jul-16,08.47.50.000000000 PM,23035.04778,347.5,92,315,235,1.6,68,294,1.7,4,52.99576545,61,23-Jul-16,07.47.50.000000000 AM
Truck 11,22-Jul-16,09.05.15.000000000 PM,23035.33806,380.3,109,284,237,1.6,63,299,1.7,4,54.88847136,66,23-Jul-16,08.05.15.000000000 AM
