MACH_SER_NO,OCUR_TS,,SMU,PAYLD_WT,LD_TM,EMTY_STOP_TM,EMTY_TRAV_TM,EMTY_TRAV_DSTNC,LD_STOP_TM,LD_TRAV_TM,LD_TRAV_DSTNC,LD_PASS_CT,FUEL_USED_IN_CYC,SHFT_CT,OCUR_TS_L,OCAL
Truck 14,28-Jul-16,05.57.48.000000000 AM,21091.57194,400.6,113,107,528,5.1,52,933,5.9,4,151.8896492,91,28-Jul-16,04.57.48.000000000 PM
Truck 14,28-Jul-16,06.36.05.000000000 AM,21092.25,334.9,137,1605,590,3.8,48,718,4.9,4,110.2501192,113,28-Jul-16,05.36.05.000000000 PM
Truck 14,28-Jul-16,07.29.52.000000000 AM,21092.73778,354,103,20,443,4.8,47,698,4.9,4,116.8745899,94,28-Jul-16,06.29.52.000000000 PM
Truck 14,28-Jul-16,07.52.38.000000000 AM,21093.11722,321.8,139,203,485,4.8,649,683,5.1,5,117.8209428,101,28-Jul-16,06.52.38.000000000 PM
Truck 14,28-Jul-16,10.37.44.000000000 AM,21093.95,343.9,102,827,498,2.7,70,695,4.9,4,103.152472,95,28-Jul-16,09.37.44.000000000 PM
Truck 14,28-Jul-16,11.15.48.000000000 AM,21094.52778,324.2,99,341,514,4.9,52,700,5.1,4,118.7672958,103,28-Jul-16,10.15.48.000000000 PM
Truck 14,28-Jul-16,11.45.24.000000000 AM,21095.02111,363.6,94,98,579,4.8,52,710,5.1,4,123.4990606,100,28-Jul-16,10.45.24.000000000 PM
Truck 14,28-Jul-16,12.11.59.000000000 PM,21095.46417,317.8,119,149,536,4.9,50,639,4.9,4,111.6696486,96,28-Jul-16,11.11.59.000000000 PM
Truck 14,28-Jul-16,12.37.54.000000000 PM,21095.89611,331.9,105,208,517,4.9,46,674,5.1,4,114.5087075,94,28-Jul-16,11.37.54.000000000 PM
Truck 14,28-Jul-16,01.04.48.000000000 PM,21096.32639,350.7,101,241,558,4.9,47,699,4.9,4,120.1868252,97,29-Jul-16,12.04.48.000000000 AM
Truck 14,28-Jul-16,01.39.05.000000000 PM,21096.85,335.7,87,2427,531,3.6,51,673,5.1,4,107.4110603,109,29-Jul-16,12.39.05.000000000 AM
Truck 14,28-Jul-16,02.44.31.000000000 PM,21097.41306,346.9,98,99,486,4.8,53,683,5.1,4,114.981884,107,29-Jul-16,01.44.31.000000000 AM
Truck 14,28-Jul-16,03.09.08.000000000 PM,21097.82333,331.1,101,85,498,4.8,43,665,5.1,4,111.1964721,95,29-Jul-16,02.09.08.000000000 AM
Truck 14,28-Jul-16,03.33.17.000000000 PM,21098.22583,329.7,105,100,586,4.9,56,680,5.1,4,114.981884,110,29-Jul-16,02.33.17.000000000 AM
Truck 14,29-Jul-16,12.03.34.000000000 AM,21100.05,348.1,110,230,399,2.4,49,761,5.1,4,105.9915309,98,29-Jul-16,11.03.34.000000000 AM
Truck 14,29-Jul-16,12.30.29.000000000 AM,21100.45861,360.2,132,171,512,4.9,44,713,5.1,4,120.1868252,96,29-Jul-16,11.30.29.000000000 AM
Truck 14,29-Jul-16,12.57.45.000000000 AM,21100.91306,365.7,116,158,532,4.9,44,729,5.1,4,119.2404723,104,29-Jul-16,11.57.45.000000000 AM
Truck 14,29-Jul-16,03.44.49.000000000 AM,21101.55,347.1,110,234,564,4,61,747,5.1,4,116.8745899,121,29-Jul-16,02.44.49.000000000 PM
Truck 14,29-Jul-16,04.14.38.000000000 AM,21101.99028,354.4,98,99,525,4.9,45,722,5.1,4,120.6600017,106,29-Jul-16,03.14.38.000000000 PM
Truck 14,29-Jul-16,04.40.29.000000000 AM,21102.42111,335.3,110,96,508,4.9,72,711,5.1,4,116.8745899,100,29-Jul-16,03.40.29.000000000 PM
Truck 14,29-Jul-16,05.06.30.000000000 AM,21102.85472,413,121,37,508,4.9,51,750,5.1,4,127.7576489,103,29-Jul-16,04.06.30.000000000 PM
Truck 14,29-Jul-16,05.31.59.000000000 AM,21103.27944,350.6,95,386,524,4.9,45,743,5.1,4,120.6600017,111,29-Jul-16,04.31.59.000000000 PM
Truck 14,29-Jul-16,06.03.05.000000000 AM,21103.79778,359,111,348,533,4.9,58,714,5.1,4,118.7672958,118,29-Jul-16,05.03.05.000000000 PM
Truck 14,29-Jul-16,06.55.00.000000000 AM,21104.45,361.4,110,249,533,4,46,801,5.1,3,113.5623545,112,29-Jul-16,05.55.00.000000000 PM
Truck 14,29-Jul-16,07.25.13.000000000 AM,21104.99139,333.7,120,239,544,4.9,53,735,5.1,4,118.7672958,109,29-Jul-16,06.25.13.000000000 PM
Truck 14,29-Jul-16,07.54.33.000000000 AM,21105.48028,394.1,159,84,547,4.9,653,846,5.1,5,130.1235312,109,29-Jul-16,06.54.33.000000000 PM
Truck 14,29-Jul-16,08.50.35.000000000 AM,21106.11278,326.1,110,8,560,4.9,72,769,5.1,4,120.1868252,104,29-Jul-16,07.50.35.000000000 PM
Truck 14,29-Jul-16,09.16.55.000000000 AM,21106.55194,328.3,123,56,612,5.1,50,741,5.1,4,118.7672958,100,29-Jul-16,08.16.55.000000000 PM
Truck 14,29-Jul-16,09.44.22.000000000 AM,21107.00944,343,95,9,564,4.9,56,874,5.6,4,150.4701198,100,29-Jul-16,08.44.22.000000000 PM
Truck 14,29-Jul-16,10.12.06.000000000 AM,21107.47167,364.4,114,154,594,5.4,61,871,5.6,4,148.5774138,72,29-Jul-16,09.12.06.000000000 PM
Truck 14,29-Jul-16,10.43.15.000000000 AM,21107.99083,347,98,5,574,5.4,55,851,5.7,4,144.3188256,75,29-Jul-16,09.43.15.000000000 PM
Truck 14,29-Jul-16,11.10.42.000000000 AM,21108.44861,321.6,118,172,548,5.4,56,795,5.7,4,142.8992961,82,29-Jul-16,10.10.42.000000000 PM
Truck 14,29-Jul-16,11.40.00.000000000 AM,21108.93694,342.5,102,72,562,5.4,94,838,5.7,4,146.2115315,85,29-Jul-16,10.40.00.000000000 PM
Truck 14,29-Jul-16,12.08.56.000000000 PM,21109.41917,326.1,118,134,593,5.6,96,867,5.7,4,141.9529432,83,29-Jul-16,11.08.56.000000000 PM
Truck 14,29-Jul-16,12.40.20.000000000 PM,21109.9425,331,123,99,631,5.6,80,835,5.6,4,144.3188256,84,29-Jul-16,11.40.20.000000000 PM
Truck 14,29-Jul-16,01.11.02.000000000 PM,21110.45417,351.3,94,37,506,5.2,53,816,5.6,4,140.5334137,77,30-Jul-16,12.11.02.000000000 AM
Truck 14,29-Jul-16,02.15.10.000000000 PM,21110.95,334.9,95,260,571,3.8,56,864,5.6,4,144.3188256,105,30-Jul-16,01.15.10.000000000 AM
Truck 14,29-Jul-16,02.47.16.000000000 PM,21111.51972,331.4,98,10,577,5.4,55,838,5.6,4,144.3188256,70,30-Jul-16,01.47.16.000000000 AM
Truck 14,29-Jul-16,03.14.38.000000000 PM,21111.97611,340.6,99,6,595,5.4,55,776,5.1,4,113.5623545,72,30-Jul-16,02.14.38.000000000 AM
Truck 14,29-Jul-16,03.41.14.000000000 PM,21112.41944,357.2,94,95,562,4.9,82,784,5.2,4,122.0795311,100,30-Jul-16,02.41.14.000000000 AM
Truck 14,29-Jul-16,04.09.20.000000000 PM,21112.88778,332.5,101,48,500,4.9,78,741,5.1,4,120.6600017,101,30-Jul-16,03.09.20.000000000 AM
Truck 14,29-Jul-16,04.34.48.000000000 PM,21113.31222,311.2,108,279,573,4.9,53,701,5.1,4,119.7136487,92,30-Jul-16,03.34.48.000000000 AM
Truck 14,29-Jul-16,07.02.06.000000000 PM,21114.15,328.5,114,175,207,0.4,87,723,5.6,4,71.44964806,68,30-Jul-16,06.02.06.000000000 AM
Truck 14,29-Jul-16,07.24.48.000000000 PM,21114.48944,336.1,107,135,547,5.4,92,669,5.6,4,103.6256485,121,30-Jul-16,06.24.48.000000000 AM
Truck 14,29-Jul-16,07.51.41.000000000 PM,21114.9375,329,93,56,537,5.4,688,676,5.7,4,108.8305898,143,30-Jul-16,06.51.41.000000000 AM
Truck 14,29-Jul-16,08.55.00.000000000 PM,21115.55611,355.6,181,777,607,5.4,56,346,2,6,62.45929499,106,30-Jul-16,07.55.00.000000000 AM
Truck 14,29-Jul-16,09.29.08.000000000 PM,21116.12528,389,186,512,373,2.2,88,852,6.4,6,105.5183544,134,30-Jul-16,08.29.08.000000000 AM
Truck 14,29-Jul-16,10.04.02.000000000 PM,21116.70694,389.8,129,203,746,6.8,74,702,4.4,5,145.2651785,126,30-Jul-16,09.04.02.000000000 AM
Truck 14,29-Jul-16,10.36.13.000000000 PM,21117.22528,381.6,138,316,550,4.3,76,659,4.4,5,116.4014134,107,30-Jul-16,09.36.13.000000000 AM
Truck 14,29-Jul-16,11.06.25.000000000 PM,21117.72861,320.4,145,360,518,4.3,75,825,6.4,4,93.21576601,120,30-Jul-16,10.06.25.000000000 AM
Truck 14,29-Jul-16,11.39.49.000000000 PM,21118.28528,353.2,162,12,690,6.8,80,802,6.5,4,119.7136487,121,30-Jul-16,10.39.49.000000000 AM
Truck 14,30-Jul-16,12.10.08.000000000 AM,21118.79056,340.6,143,269,720,6.8,79,787,6.4,5,124.4454135,138,30-Jul-16,11.10.08.000000000 AM
Truck 14,30-Jul-16,12.44.49.000000000 AM,21119.36861,307.3,331,270,675,6.8,70,780,6.5,6,121.1331782,142,30-Jul-16,11.44.49.000000000 AM
Truck 14,30-Jul-16,01.27.26.000000000 AM,21119.95,325.8,153,138,658,6.7,80,773,6.4,5,120.1868252,132,30-Jul-16,12.27.26.000000000 PM
Truck 14,30-Jul-16,02.42.10.000000000 AM,21120.65,366.5,122,329,617,5.1,87,847,6.4,5,108.8305898,134,30-Jul-16,01.42.10.000000000 PM
Truck 14,30-Jul-16,03.16.56.000000000 AM,21121.19,345.3,115,10,692,6.8,80,824,6.5,4,117.3477664,124,30-Jul-16,02.16.56.000000000 PM
Truck 14,30-Jul-16,04.13.35.000000000 AM,21121.85,330.2,102,152,407,2.5,72,743,5.7,4,88.95717772,102,30-Jul-16,03.13.35.000000000 PM
Truck 14,30-Jul-16,04.39.14.000000000 AM,21122.2375,332.7,110,166,614,5.4,81,680,5.6,4,99.84023669,100,30-Jul-16,03.39.14.000000000 PM
Truck 14,30-Jul-16,05.07.53.000000000 AM,21122.71528,383.1,140,69,581,5.4,55,728,5.6,5,102.6792956,98,30-Jul-16,04.07.53.000000000 PM
Truck 14,30-Jul-16,06.19.55.000000000 AM,21123.25,365.6,151,97,528,4.3,79,666,5.6,5,91.3230601,110,30-Jul-16,05.19.55.000000000 PM
Truck 14,30-Jul-16,06.46.21.000000000 AM,21123.65056,337,169,214,592,5.4,91,655,5.6,5,99.84023669,113,30-Jul-16,05.46.21.000000000 PM
Truck 14,30-Jul-16,07.16.14.000000000 AM,21124.14889,416.5,217,417,575,5.4,77,692,5.4,5,111.1964721,120,30-Jul-16,06.16.14.000000000 PM
Truck 14,30-Jul-16,08.29.59.000000000 AM,21124.95,334.7,137,1462,239,0.8,56,453,3,4,96.05482488,57,30-Jul-16,07.29.59.000000000 PM
Truck 14,30-Jul-16,09.10.45.000000000 AM,21125.64778,335.3,120,542,389,2.8,48,490,3.2,4,91.3230601,65,30-Jul-16,08.10.45.000000000 PM
Truck 14,30-Jul-16,09.38.21.000000000 AM,21126.10778,335.5,135,94,350,3,50,485,3,4,82.80588351,64,30-Jul-16,08.38.21.000000000 PM
Truck 14,30-Jul-16,09.57.40.000000000 AM,21126.42972,394.9,99,83,298,2.8,49,472,3,4,85.1717659,61,30-Jul-16,08.57.40.000000000 PM
Truck 14,30-Jul-16,10.15.03.000000000 AM,21126.71944,380.9,137,78,393,2.8,49,467,3,4,84.69858942,65,30-Jul-16,09.15.03.000000000 PM
Truck 14,30-Jul-16,10.34.34.000000000 AM,21127.04472,359.2,101,57,332,3,47,461,3,4,82.80588351,57,30-Jul-16,09.34.34.000000000 PM
Truck 14,30-Jul-16,10.51.55.000000000 AM,21127.33389,387.3,109,91,342,3,46,469,3,4,86.59129533,69,30-Jul-16,09.51.55.000000000 PM
Truck 14,30-Jul-16,11.10.16.000000000 AM,21127.63972,357,128,58,388,3,47,474,3,4,84.22541295,63,30-Jul-16,10.10.16.000000000 PM
Truck 14,30-Jul-16,11.29.16.000000000 AM,21127.95639,361.9,99,64,348,3,77,472,3.2,4,85.1717659,57,30-Jul-16,10.29.16.000000000 PM
Truck 14,30-Jul-16,11.47.42.000000000 AM,21128.26361,375,97,128,348,3,59,484,3,4,87.53764829,63,30-Jul-16,10.47.42.000000000 PM
Truck 14,30-Jul-16,12.07.03.000000000 PM,21128.58611,323.9,111,71,367,3,48,485,3.2,4,86.59129533,59,30-Jul-16,11.07.03.000000000 PM
Truck 14,30-Jul-16,12.25.50.000000000 PM,21128.89917,298.2,92,60,336,3,52,450,3,3,80.44000113,62,30-Jul-16,11.25.50.000000000 PM
Truck 14,30-Jul-16,12.43.01.000000000 PM,21129.18556,344.2,99,3,314,3,67,479,3.2,4,84.22541295,57,30-Jul-16,11.43.01.000000000 PM
Truck 14,30-Jul-16,12.59.43.000000000 PM,21129.46389,349.9,90,33,324,3,82,473,3,4,83.27905999,61,30-Jul-16,11.59.43.000000000 PM
Truck 14,30-Jul-16,01.55.04.000000000 PM,21129.95,372,146,193,454,3.2,92,537,3.5,4,98.42070726,69,31-Jul-16,12.55.04.000000000 AM
Truck 14,30-Jul-16,02.19.46.000000000 PM,21130.38056,358.6,118,65,367,3.3,66,528,3.5,4,94.63529544,57,31-Jul-16,01.19.46.000000000 AM
Truck 14,30-Jul-16,02.39.39.000000000 PM,21130.71194,368.2,105,53,337,3.3,49,542,3.5,4,96.52800135,63,31-Jul-16,01.39.39.000000000 AM
Truck 14,30-Jul-16,02.58.29.000000000 PM,21131.02611,381.7,111,123,343,3.3,52,535,3.5,4,98.89388374,65,31-Jul-16,01.58.29.000000000 AM
Truck 14,30-Jul-16,03.18.43.000000000 PM,21131.36306,323.2,120,3,347,3.3,48,529,3.6,4,94.63529544,68,31-Jul-16,02.18.43.000000000 AM
Truck 14,30-Jul-16,03.36.56.000000000 PM,21131.66667,340.7,94,167,352,3.3,51,527,3.6,4,95.5816484,59,31-Jul-16,02.36.56.000000000 AM
Truck 14,30-Jul-16,03.57.37.000000000 PM,21132.01139,364.9,113,294,364,3.3,50,536,3.5,4,100.3134132,67,31-Jul-16,02.57.37.000000000 AM
Truck 14,30-Jul-16,04.21.09.000000000 PM,21132.40361,397.1,157,75,359,3.2,80,570,3.5,5,101.2597661,69,31-Jul-16,03.21.09.000000000 AM
Truck 14,30-Jul-16,04.42.42.000000000 PM,21132.76278,342.5,95,345,384,3.3,67,521,3.5,4,97.47435431,63,31-Jul-16,03.42.42.000000000 AM
Truck 14,30-Jul-16,05.07.13.000000000 PM,21133.17139,345.4,97,69,340,3.2,54,535,3.5,4,92.26941306,59,31-Jul-16,04.07.13.000000000 AM
Truck 14,30-Jul-16,06.02.42.000000000 PM,21133.65,361.9,96,252,389,3.3,66,548,3.5,4,95.5816484,55,31-Jul-16,05.02.42.000000000 AM
Truck 14,30-Jul-16,06.26.11.000000000 PM,21134.00139,391.8,98,84,362,3.3,49,546,3.5,4,98.42070726,65,31-Jul-16,05.26.11.000000000 AM
Truck 14,30-Jul-16,06.45.58.000000000 PM,21134.33111,373.1,100,118,341,3.3,68,589,3.6,4,99.84023669,61,31-Jul-16,05.45.58.000000000 AM
Truck 14,30-Jul-16,07.07.02.000000000 PM,21134.6825,379.1,84,3,345,3.3,48,532,3.6,4,97.47435431,61,31-Jul-16,06.07.02.000000000 AM
Truck 14,30-Jul-16,07.24.37.000000000 PM,21134.97556,382.9,91,3,334,3.3,87,557,3.6,4,99.36706022,64,31-Jul-16,06.24.37.000000000 AM
Truck 14,30-Jul-16,07.43.15.000000000 PM,21135.28611,370.8,91,41,330,3.3,57,584,3.6,4,97.94753079,67,31-Jul-16,06.43.15.000000000 AM
Truck 14,30-Jul-16,08.20.12.000000000 PM,21135.75,358,129,432,45,0,74,586,3.6,3,89.90353067,54,31-Jul-16,07.20.12.000000000 AM
Truck 14,30-Jul-16,08.42.13.000000000 PM,21136.06,399.5,118,130,366,3.5,52,580,3.8,4,102.2061191,77,31-Jul-16,07.42.13.000000000 AM
Truck 14,30-Jul-16,09.03.50.000000000 PM,21136.42056,359.4,118,227,390,3.5,49,607,3.8,4,108.8305898,68,31-Jul-16,08.03.50.000000000 AM
Truck 14,30-Jul-16,09.28.00.000000000 PM,21136.82333,391.8,129,299,444,3.5,52,548,3.5,4,101.2597661,68,31-Jul-16,08.28.00.000000000 AM
Truck 14,30-Jul-16,09.53.34.000000000 PM,21137.24944,385.8,104,86,354,3.2,54,544,3.5,4,99.36706022,68,31-Jul-16,08.53.34.000000000 AM
Truck 14,30-Jul-16,10.13.24.000000000 PM,21137.58,368.6,119,110,365,3.3,54,546,3.5,4,100.3134132,68,31-Jul-16,09.13.24.000000000 AM
Truck 14,30-Jul-16,10.34.07.000000000 PM,21137.92528,331.1,122,115,384,3.3,55,518,3.5,4,95.5816484,60,31-Jul-16,09.34.07.000000000 AM
Truck 14,30-Jul-16,10.54.50.000000000 PM,21138.27056,321.5,93,319,341,3.3,50,561,3.6,3,101.2597661,76,31-Jul-16,09.54.50.000000000 AM
Truck 14,30-Jul-16,11.18.31.000000000 PM,21138.66556,396.3,120,157,346,3.3,56,553,3.6,4,105.5183544,80,31-Jul-16,10.18.31.000000000 AM
Truck 14,30-Jul-16,11.54.13.000000000 PM,21139.25,341.8,108,1693,146,0.6,50,444,2.7,4,65.29835386,63,31-Jul-16,10.54.13.000000000 AM
Truck 14,31-Jul-16,12.36.36.000000000 AM,21139.50444,380.2,93,2,224,2.2,68,389,2.5,3,68.13741272,64,31-Jul-16,11.36.36.000000000 AM
Truck 14,31-Jul-16,12.50.05.000000000 AM,21139.72917,384.5,108,102,266,2.2,69,396,2.5,4,69.55694215,63,31-Jul-16,11.50.05.000000000 AM
Truck 14,31-Jul-16,01.06.27.000000000 AM,21140.00194,398.5,122,291,315,2.2,67,373,2.5,4,71.44964806,63,31-Jul-16,12.06.27.000000000 PM
Truck 14,31-Jul-16,01.26.42.000000000 AM,21140.33944,359.2,109,206,307,2.2,58,385,2.5,4,69.55694215,65,31-Jul-16,12.26.42.000000000 PM
Truck 14,31-Jul-16,01.45.11.000000000 AM,21140.6475,382.9,87,127,264,2.2,66,367,2.5,4,69.08376567,65,31-Jul-16,12.45.11.000000000 PM
Truck 14,31-Jul-16,02.01.00.000000000 AM,21140.91111,377.4,100,94,272,2.2,60,687,5.4,3,98.89388374,77,31-Jul-16,01.01.00.000000000 PM
Truck 14,31-Jul-16,03.00.38.000000000 AM,21141.35,353.4,114,92,514,4,59,527,3.5,3,110.7232957,92,31-Jul-16,02.00.38.000000000 PM
Truck 14,31-Jul-16,03.23.20.000000000 AM,21141.80694,357.1,104,138,370,3.2,57,520,3.5,4,93.68894249,65,31-Jul-16,02.23.20.000000000 PM
Truck 14,31-Jul-16,03.43.59.000000000 AM,21142.15111,383,116,116,327,3.2,56,524,3.5,3,96.52800135,70,31-Jul-16,02.43.59.000000000 PM
Truck 14,31-Jul-16,04.03.46.000000000 AM,21142.48111,361.3,113,114,330,3.2,54,521,3.5,4,95.5816484,63,31-Jul-16,03.03.46.000000000 PM
Truck 14,31-Jul-16,04.23.26.000000000 AM,21142.80889,364,116,172,337,3.2,53,571,3.8,3,102.2061191,64,31-Jul-16,03.23.26.000000000 PM
Truck 14,31-Jul-16,05.17.09.000000000 AM,21143.25,365.4,105,213,367,2.2,43,755,5.2,4,112.6160016,84,31-Jul-16,04.17.09.000000000 PM
Truck 14,31-Jul-16,06.24.06.000000000 AM,21143.85,345.2,104,220,598,4.1,59,717,5.2,4,113.0891781,95,31-Jul-16,05.24.06.000000000 PM
Truck 14,31-Jul-16,06.53.36.000000000 AM,21144.42389,322.5,112,100,529,5.1,46,687,5.2,4,120.6600017,101,31-Jul-16,05.53.36.000000000 PM
Truck 14,31-Jul-16,07.19.10.000000000 AM,21144.85028,344.9,96,246,575,5.1,54,777,5.2,4,123.4990606,101,31-Jul-16,06.19.10.000000000 PM
Truck 14,31-Jul-16,07.49.32.000000000 AM,21145.35639,327.4,96,133,496,5.1,1181,768,5.4,4,138.1675313,110,31-Jul-16,06.49.32.000000000 PM
Truck 14,31-Jul-16,08.36.13.000000000 AM,21145.97278,353.1,104,14,556,5.1,45,737,5.2,4,121.6063546,121,31-Jul-16,07.36.13.000000000 PM
Truck 14,31-Jul-16,09.01.30.000000000 AM,21146.39444,328.3,110,92,570,5.2,56,710,5.2,4,119.7136487,112,31-Jul-16,08.01.30.000000000 PM
Truck 14,31-Jul-16,09.28.13.000000000 AM,21146.83972,328.1,101,154,543,5.1,48,738,5.2,4,117.3477664,107,31-Jul-16,08.28.13.000000000 PM
Truck 14,31-Jul-16,11.25.09.000000000 AM,21147.45,339.4,262,483,470,2.7,55,680,5.4,9,112.1428251,126,31-Jul-16,10.25.09.000000000 PM
Truck 14,31-Jul-16,11.59.02.000000000 AM,21148.03361,334.1,261,285,610,5.4,84,648,5.4,9,107.8842368,143,31-Jul-16,10.59.02.000000000 PM
Truck 14,31-Jul-16,12.31.48.000000000 PM,21148.58,357.8,261,221,564,5.2,50,657,5.4,10,102.6792956,127,31-Jul-16,11.31.48.000000000 PM
Truck 14,31-Jul-16,01.43.22.000000000 PM,21149.15,336.3,103,428,494,4,51,724,5.2,4,115.4550604,114,1-Aug-16,12.43.22.000000000 AM
Truck 14,31-Jul-16,02.14.38.000000000 PM,21149.7,330.7,106,160,579,5.1,64,721,5.2,4,116.8745899,102,1-Aug-16,01.14.38.000000000 AM
Truck 14,31-Jul-16,02.42.55.000000000 PM,21150.17139,323.3,110,709,623,5.1,67,707,5.2,4,119.2404723,122,1-Aug-16,01.42.55.000000000 AM
Truck 14,31-Jul-16,03.21.21.000000000 PM,21150.81194,323.9,114,56,557,5.1,69,714,5.2,4,114.981884,112,1-Aug-16,02.21.21.000000000 AM
Truck 14,31-Jul-16,03.47.34.000000000 PM,21151.24889,319,87,160,541,5.1,47,702,5.2,3,114.981884,105,1-Aug-16,02.47.34.000000000 AM
Truck 14,31-Jul-16,04.14.15.000000000 PM,21151.69361,331.3,112,84,553,5.1,60,722,5.2,4,119.2404723,87,1-Aug-16,03.14.15.000000000 AM
Truck 14,31-Jul-16,04.40.50.000000000 PM,21152.13667,355.4,151,112,547,5.1,47,712,5.2,5,122.0795311,88,1-Aug-16,03.40.50.000000000 AM
Truck 14,31-Jul-16,05.08.04.000000000 PM,21152.59056,333.9,122,424,596,5.1,54,691,5.2,4,118.2941193,108,1-Aug-16,04.08.04.000000000 AM
Truck 14,31-Jul-16,06.16.39.000000000 PM,21153.25,338.9,100,109,540,4.1,48,708,5.2,4,110.7232957,111,1-Aug-16,05.16.39.000000000 AM
Truck 14,31-Jul-16,06.42.48.000000000 PM,21153.64694,330.1,104,190,583,5.1,69,723,5.2,4,118.2941193,107,1-Aug-16,05.42.48.000000000 AM
Truck 14,31-Jul-16,07.11.47.000000000 PM,21154.13,349,108,215,563,5.1,57,731,5.2,4,119.2404723,101,1-Aug-16,06.11.47.000000000 AM
Truck 14,31-Jul-16,07.40.51.000000000 PM,21154.61444,332.2,138,87,536,5.1,90,721,5.2,4,120.6600017,119,1-Aug-16,06.40.51.000000000 AM
Truck 14,31-Jul-16,08.25.55.000000000 PM,21155.25,325.6,105,209,44,0,54,758,5.2,4,93.21576601,60,1-Aug-16,07.25.55.000000000 AM
Truck 14,31-Jul-16,08.46.15.000000000 PM,21155.54889,319.5,111,421,665,5.2,46,716,5.2,3,121.1331782,97,1-Aug-16,07.46.15.000000000 AM
Truck 14,31-Jul-16,09.20.16.000000000 PM,21156.11611,326.8,102,357,605,5.1,56,719,5.2,4,121.1331782,115,1-Aug-16,08.20.16.000000000 AM
Truck 14,31-Jul-16,09.52.10.000000000 PM,21156.64778,349.9,119,206,545,5.2,49,744,5.2,5,121.6063546,101,1-Aug-16,08.52.10.000000000 AM
Truck 14,31-Jul-16,10.21.04.000000000 PM,21157.12944,335,88,116,507,5.1,49,715,5.2,4,116.8745899,95,1-Aug-16,09.21.04.000000000 AM
Truck 14,31-Jul-16,10.46.41.000000000 PM,21157.55639,362.1,129,93,510,5.2,42,747,5.2,5,123.0258841,101,1-Aug-16,09.46.41.000000000 AM
Truck 14,31-Jul-16,11.13.06.000000000 PM,21157.99667,307.5,119,328,544,5.1,47,724,5.2,4,125.3917665,109,1-Aug-16,10.13.06.000000000 AM
Truck 14,31-Jul-16,11.43.43.000000000 PM,21158.50694,316.6,125,270,520,5.1,63,749,5.4,4,132.0162371,95,1-Aug-16,10.43.43.000000000 AM
Truck 14,1-Aug-16,12.13.44.000000000 AM,21159.00722,352.5,153,158,532,5.1,50,683,5.1,5,117.8209428,94,1-Aug-16,11.13.44.000000000 AM
Truck 14,1-Aug-16,12.41.06.000000000 AM,21159.50139,338.3,108,488,599,5.1,60,720,5.2,4,124.91859,95,1-Aug-16,11.41.06.000000000 AM
Truck 14,1-Aug-16,01.15.24.000000000 AM,21160.07306,320.2,100,112,575,5.1,50,745,5.2,4,119.7136487,109,1-Aug-16,12.15.24.000000000 PM
Truck 14,1-Aug-16,01.42.52.000000000 AM,21160.53083,381.7,151,130,527,5.2,54,720,5.2,5,124.91859,99,1-Aug-16,12.42.52.000000000 PM
Truck 14,1-Aug-16,03.14.18.000000000 AM,21161.15,349.1,154,265,797,5.1,50,154,0.8,5,44.47858886,76,1-Aug-16,02.14.18.000000000 PM
Truck 14,1-Aug-16,03.39.00.000000000 AM,21161.52167,383.8,123,677,528,3.2,50,732,5.2,5,139.1138843,96,1-Aug-16,02.39.00.000000000 PM
Truck 14,1-Aug-16,04.15.36.000000000 AM,21162.13194,319.3,108,396,563,5.2,62,692,5.2,3,122.5527076,91,1-Aug-16,03.15.36.000000000 PM
Truck 14,1-Aug-16,04.47.13.000000000 AM,21162.65889,385,145,120,564,5.1,57,746,5.2,5,127.7576489,98,1-Aug-16,03.47.13.000000000 PM
Truck 14,1-Aug-16,05.15.34.000000000 AM,21163.13139,386.1,136,7,545,5.1,63,720,5.2,5,125.3917665,103,1-Aug-16,04.15.34.000000000 PM
Truck 14,1-Aug-16,05.41.07.000000000 AM,21163.55722,370.3,111,41,510,5.1,50,725,5.2,5,124.4454135,100,1-Aug-16,04.41.07.000000000 PM
Truck 14,1-Aug-16,06.06.05.000000000 AM,21163.97333,342.6,129,129,532,5.2,52,714,5.2,4,119.2404723,92,1-Aug-16,05.06.05.000000000 PM
Truck 14,1-Aug-16,06.57.37.000000000 AM,21164.65,353.2,147,252,352,2.4,59,745,5.4,4,107.8842368,72,1-Aug-16,05.57.37.000000000 PM
Truck 14,1-Aug-16,07.24.38.000000000 AM,21165.06056,335.7,106,125,533,5.2,49,722,5.4,4,120.6600017,103,1-Aug-16,06.24.38.000000000 PM
Truck 14,1-Aug-16,07.51.15.000000000 AM,21165.50417,340.8,123,27,523,5.2,762,811,5.2,4,127.2844724,111,1-Aug-16,06.51.15.000000000 PM
Truck 14,1-Aug-16,08.40.19.000000000 AM,21166.12,344.3,101,9,506,5.2,46,771,5.2,4,123.0258841,108,1-Aug-16,07.40.19.000000000 PM
Truck 14,1-Aug-16,09.05.10.000000000 AM,21166.53444,332.8,104,198,567,5.2,78,729,5.2,4,121.1331782,122,1-Aug-16,08.05.10.000000000 PM
Truck 14,1-Aug-16,09.34.15.000000000 AM,21167.01917,378.8,140,26,513,5.2,68,754,5.2,5,129.1771783,122,1-Aug-16,08.34.15.000000000 PM
Truck 14,1-Aug-16,10.00.17.000000000 AM,21167.45306,304.6,168,223,498,5.1,49,730,5.4,6,119.7136487,109,1-Aug-16,09.00.17.000000000 PM
