MACH_SER_NO,OCUR_TS Date,OCUR_TS Time,PAYLD_WT,LD_TM,EMTY_STOP_TM,EMTY_TRAV_TM,EMTY_TRAV_DSTNC,LD_STOP_TM,LD_TRAV_TM,LD_TRAV_DSTNC,LD_PASS_CT,FUEL_USED_IN_CYC,SHFT_CT
Truck 1,24-Jul-16,06.53.14.000000000 AM,313.6,134.0,335.0,348.0,1.4,257.0,916.0,4.3,4.0,122.5527076,61.0
Truck 1,24-Jul-16,07.27.49.000000000 AM,386.4,143.0,5681.0,1077.0,5.4,79.0,1224.0,6.0,4.0,201.1000028,105.0
Truck 1,24-Jul-16,09.50.25.000000000 AM,327.6,154.0,129.0,1164.0,6.8,1021.0,1354.0,5.6,4.0,239.4272975,123.0
Truck 1,24-Jul-16,10.56.50.000000000 AM,327.3,127.0,347.0,697.0,3.8,971.0,713.0,2.8,3.0,116.4014134,61.0
Truck 1,24-Jul-16,01.07.38.000000000 PM,364.5,327.0,242.0,834.0,4.1,56.0,967.0,6.0,4.0,142.8992961,106.0
Truck 1,24-Jul-16,01.49.47.000000000 PM,323.2,122.0,276.0,845.0,6.8,612.0,1614.0,7.3,4.0,249.83718,140.0
Truck 1,24-Jul-16,02.50.01.000000000 PM,301.6,154.0,3.0,479.0,3.0,763.0,805.0,3.6,4.0,144.3188256,73.0
Truck 1,24-Jul-16,03.28.17.000000000 PM,399.2,494.0,26.0,970.0,6.2,100.0,551.0,2.8,5.0,130.5967077,110.0
Truck 1,25-Jul-16,10.26.31.000000000 AM,315.3,209.0,204.0,1075.0,4.6,75.0,650.0,2.4,3.0,116.8745899,78.0
Truck 1,25-Jul-16,11.04.59.000000000 AM,380.6,126.0,188.0,523.0,2.2,567.0,665.0,2.4,4.0,116.8745899,63.0
Truck 1,25-Jul-16,11.40.55.000000000 AM,371.8,113.0,15.0,469.0,2.2,1076.0,1663.0,7.6,4.0,212.4562383,122.0
Truck 1,25-Jul-16,01.46.29.000000000 PM,338.5,272.0,688.0,580.0,2.2,92.0,627.0,2.4,4.0,117.3477664,71.0
Truck 1,25-Jul-16,02.25.42.000000000 PM,371.9,172.0,10.0,240.0,1.1,977.0,692.0,3.0,4.0,106.4647074,53.0
Truck 1,25-Jul-16,03.02.01.000000000 PM,363.2,110.0,172.0,537.0,3.5,79.0,1117.0,6.2,4.0,186.431532,95.0
Truck 1,25-Jul-16,03.37.00.000000000 PM,374.2,128.0,222.0,892.0,5.9,450.0,1080.0,4.1,3.0,187.377885,94.0
Truck 1,25-Jul-16,04.25.10.000000000 PM,333.1,291.0,1844.0,674.0,4.0,253.0,791.0,3.6,4.0,143.8456491,117.0
Truck 1,25-Jul-16,05.32.05.000000000 PM,357.3,143.0,11.0,234.0,1.4,535.0,633.0,3.0,4.0,105.0451779,52.0
Truck 1,25-Jul-16,05.59.06.000000000 PM,353.7,123.0,164.0,554.0,3.6,660.0,751.0,3.5,4.0,120.1868252,67.0
Truck 1,25-Jul-16,06.38.12.000000000 PM,379.6,190.0,32.0,495.0,3.5,465.0,574.0,3.0,5.0,84.69858942,69.0
Truck 1,25-Jul-16,07.08.43.000000000 PM,332.1,157.0,19.0,354.0,2.2,759.0,842.0,3.6,4.0,151.4164727,76.0
Truck 1,25-Jul-16,07.45.46.000000000 PM,349.0,201.0,51.0,512.0,3.6,639.0,929.0,3.5,4.0,163.7190611,135.0
Truck 1,25-Jul-16,08.53.27.000000000 PM,329.0,157.0,433.0,726.0,3.5,1817.0,970.0,3.8,4.0,169.8703553,83.0
Truck 1,25-Jul-16,10.04.41.000000000 PM,328.2,245.0,1099.0,679.0,3.6,66.0,1251.0,6.4,5.0,193.0560027,94.0
Truck 1,25-Jul-16,11.02.44.000000000 PM,354.1,183.0,30.0,1024.0,6.0,1321.0,1311.0,5.4,5.0,213.8757677,120.0
Truck 1,26-Jul-16,12.09.55.000000000 AM,346.1,171.0,94.0,257.0,0.4,703.0,518.0,2.2,5.0,74.7618834,44.0
Truck 1,26-Jul-16,12.40.12.000000000 AM,337.6,117.0,46.0,740.0,4.0,226.0,699.0,3.0,4.0,123.0258841,78.0
Truck 1,26-Jul-16,01.11.55.000000000 AM,343.0,116.0,2548.0,874.0,4.0,104.0,658.0,2.4,4.0,138.1675313,69.0
Truck 1,26-Jul-16,03.05.35.000000000 AM,319.6,154.0,84.0,793.0,3.6,726.0,788.0,2.8,4.0,122.0795311,64.0
Truck 1,26-Jul-16,04.32.36.000000000 AM,298.2,207.0,564.0,425.0,3.3,1961.0,1514.0,8.3,5.0,218.6075325,124.0
Truck 1,26-Jul-16,05.53.48.000000000 AM,346.9,194.0,457.0,800.0,6.0,848.0,784.0,2.8,3.0,144.792002,122.0
Truck 1,26-Jul-16,06.47.17.000000000 AM,344.0,185.0,418.0,553.0,3.6,142.0,924.0,3.8,5.0,172.7094142,117.0
Truck 1,26-Jul-16,07.25.52.000000000 AM,351.3,136.0,74.0,282.0,1.4,787.0,542.0,2.8,4.0,67.19105977,64.0
Truck 1,26-Jul-16,07.57.29.000000000 AM,294.1,189.0,12.0,154.0,0.4,779.0,643.0,2.8,4.0,84.69858942,56.0
Truck 1,26-Jul-16,08.28.19.000000000 AM,328.9,137.0,2251.0,608.0,2.4,84.0,469.0,2.2,4.0,96.52800135,104.0
Truck 1,26-Jul-16,09.29.55.000000000 AM,391.0,185.0,1432.0,811.0,5.1,304.0,955.0,4.0,4.0,186.431532,114.0
Truck 1,26-Jul-16,10.33.57.000000000 AM,339.8,205.0,1427.0,688.0,5.4,233.0,1315.0,5.6,5.0,233.2760033,106.0
Truck 1,26-Jul-16,12.57.22.000000000 PM,316.5,172.0,848.0,655.0,5.4,1678.0,1223.0,5.6,4.0,226.1783561,113.0
Truck 1,26-Jul-16,02.16.50.000000000 PM,320.4,119.0,506.0,631.0,5.4,92.0,893.0,3.6,4.0,167.5044729,108.0
Truck 1,26-Jul-16,02.55.47.000000000 PM,343.1,134.0,170.0,334.0,2.4,225.0,620.0,2.4,4.0,111.1964721,72.0
Truck 1,26-Jul-16,03.21.33.000000000 PM,364.0,347.0,177.0,306.0,1.6,1359.0,963.0,5.7,5.0,124.4454135,78.0
Truck 1,26-Jul-16,04.16.18.000000000 PM,298.9,131.0,9.0,129.0,0.6,2001.0,1188.0,6.7,4.0,176.9680025,92.0
Truck 1,26-Jul-16,05.57.02.000000000 PM,309.6,350.0,100.0,685.0,4.1,353.0,573.0,3.2,3.0,80.91317761,65.0
Truck 1,26-Jul-16,06.32.50.000000000 PM,339.6,175.0,708.0,421.0,3.0,60.0,821.0,4.6,4.0,132.9625901,64.0
Truck 1,26-Jul-16,07.10.49.000000000 PM,290.1,90.0,122.0,840.0,6.4,857.0,970.0,4.1,3.0,174.1289436,59.0
Truck 1,26-Jul-16,09.05.29.000000000 PM,391.6,138.0,950.0,592.0,3.6,187.0,981.0,4.0,5.0,182.6461202,89.0
Truck 1,26-Jul-16,09.54.57.000000000 PM,344.0,281.0,326.0,1196.0,6.5,78.0,1228.0,6.7,6.0,233.7491797,115.0
Truck 1,26-Jul-16,10.48.57.000000000 PM,342.3,131.0,537.0,893.0,6.0,189.0,593.0,2.2,4.0,101.2597661,83.0
Truck 1,26-Jul-16,11.29.38.000000000 PM,404.1,241.0,105.0,855.0,5.1,191.0,1511.0,7.6,4.0,219.080709,107.0
Truck 1,27-Jul-16,12.20.04.000000000 AM,345.6,151.0,1348.0,935.0,6.0,85.0,669.0,2.4,5.0,140.5334137,72.0
Truck 1,27-Jul-16,01.15.26.000000000 AM,362.0,144.0,4636.0,882.0,4.0,397.0,1397.0,5.6,4.0,267.8178861,92.0
Truck 1,27-Jul-16,03.24.53.000000000 AM,337.7,165.0,20.0,684.0,5.4,1133.0,1326.0,5.4,4.0,229.4905915,102.0
Truck 1,27-Jul-16,04.47.32.000000000 AM,308.1,149.0,405.0,380.0,1.6,139.0,597.0,2.4,5.0,70.97647158,52.0
Truck 1,27-Jul-16,05.16.32.000000000 AM,286.2,171.0,32.0,484.0,2.2,319.0,580.0,2.2,4.0,86.11811885,74.0
Truck 1,27-Jul-16,05.44.05.000000000 AM,282.0,181.0,96.0,1190.0,7.2,231.0,1205.0,5.4,4.0,221.4465913,121.0
Truck 1,27-Jul-16,06.34.32.000000000 AM,326.3,171.0,13.0,417.0,1.9,92.0,1367.0,6.8,4.0,179.8070613,80.0
Truck 1,27-Jul-16,07.10.19.000000000 AM,318.3,148.0,152.0,861.0,5.2,95.0,697.0,3.5,4.0,100.3134132,73.0
Truck 1,27-Jul-16,08.11.52.000000000 AM,330.8,174.0,3622.0,945.0,4.8,763.0,772.0,3.0,4.0,149.9969433,104.0
Truck 1,27-Jul-16,10.00.51.000000000 AM,356.0,351.0,683.0,481.0,2.0,65.0,897.0,4.8,4.0,129.1771783,72.0
Truck 1,27-Jul-16,10.43.53.000000000 AM,355.9,161.0,183.0,535.0,4.1,893.0,545.0,2.8,4.0,80.91317761,87.0
Truck 1,27-Jul-16,11.24.06.000000000 AM,365.6,234.0,12.0,452.0,2.7,77.0,836.0,4.3,5.0,133.4357666,73.0
Truck 1,27-Jul-16,12.41.27.000000000 PM,304.2,131.0,403.0,340.0,2.0,839.0,406.0,2.2,4.0,69.55694215,60.0
Truck 1,27-Jul-16,01.18.15.000000000 PM,344.0,297.0,402.0,451.0,3.0,103.0,693.0,4.0,4.0,121.1331782,82.0
Truck 1,27-Jul-16,01.52.04.000000000 PM,358.7,152.0,4.0,431.0,3.5,403.0,405.0,2.2,4.0,65.77153033,53.0
Truck 1,27-Jul-16,02.16.18.000000000 PM,306.5,174.0,254.0,637.0,5.6,120.0,1025.0,4.0,4.0,187.377885,98.0
Truck 1,27-Jul-16,02.54.42.000000000 PM,383.5,185.0,17.0,455.0,2.8,79.0,983.0,6.2,4.0,188.3242379,123.0
Truck 1,27-Jul-16,03.24.32.000000000 PM,336.1,141.0,317.0,740.0,6.0,72.0,443.0,2.2,3.0,89.90353067,93.0
Truck 1,27-Jul-16,03.54.16.000000000 PM,375.0,144.0,51.0,413.0,2.2,261.0,490.0,2.2,4.0,86.11811885,92.0
Truck 1,27-Jul-16,04.17.54.000000000 PM,313.9,177.0,1789.0,731.0,4.9,107.0,437.0,2.4,4.0,112.6160016,116.0
Truck 1,27-Jul-16,05.14.12.000000000 PM,360.1,195.0,19.0,399.0,2.2,61.0,461.0,2.2,4.0,80.91317761,73.0
Truck 1,27-Jul-16,05.33.56.000000000 PM,372.7,253.0,281.0,561.0,2.8,68.0,577.0,2.8,6.0,102.6792956,106.0
Truck 1,27-Jul-16,06.04.10.000000000 PM,385.5,348.0,15.0,544.0,2.8,63.0,640.0,2.8,5.0,100.3134132,89.0
Truck 1,27-Jul-16,06.32.07.000000000 PM,298.3,330.0,151.0,681.0,4.6,65.0,1128.0,7.2,5.0,188.7974144,125.0
Truck 1,27-Jul-16,07.13.03.000000000 PM,385.8,347.0,483.0,1046.0,8.8,75.0,1034.0,5.9,5.0,196.368238,120.0
Truck 1,27-Jul-16,08.44.23.000000000 PM,346.0,159.0,1058.0,485.0,3.0,90.0,845.0,4.8,5.0,149.5237668,104.0
Truck 1,27-Jul-16,10.07.22.000000000 PM,332.7,178.0,585.0,344.0,1.7,167.0,629.0,2.8,5.0,95.5816484,111.0
Truck 1,27-Jul-16,10.40.26.000000000 PM,333.7,167.0,33.0,391.0,2.2,363.0,638.0,2.2,4.0,87.06447181,90.0
Truck 1,27-Jul-16,11.08.06.000000000 PM,345.7,136.0,465.0,966.0,4.6,218.0,986.0,4.8,4.0,149.9969433,100.0
Truck 1,27-Jul-16,11.56.14.000000000 PM,356.1,170.0,404.0,574.0,5.4,163.0,517.0,2.2,4.0,109.3037662,99.0
Truck 1,28-Jul-16,12.27.58.000000000 AM,315.7,219.0,25.0,382.0,2.2,111.0,487.0,2.2,4.0,84.22541295,106.0
Truck 1,28-Jul-16,12.49.13.000000000 AM,361.5,133.0,3050.0,1103.0,5.9,78.0,513.0,2.2,4.0,149.5237668,187.0
Truck 1,28-Jul-16,02.13.53.000000000 AM,343.6,262.0,804.0,1469.0,8.4,64.0,885.0,4.8,4.0,187.8510615,191.0
Truck 1,28-Jul-16,03.14.25.000000000 AM,332.1,138.0,50.0,667.0,4.6,57.0,860.0,4.8,4.0,141.0065902,114.0
Truck 1,28-Jul-16,03.45.11.000000000 AM,371.9,147.0,88.0,551.0,4.6,464.0,1381.0,8.3,4.0,175.0752966,168.0
Truck 1,28-Jul-16,04.54.30.000000000 AM,337.9,143.0,8.0,780.0,5.9,186.0,701.0,3.5,4.0,123.972237,49.0
Truck 1,28-Jul-16,05.26.03.000000000 AM,340.7,133.0,63.0,581.0,3.3,694.0,671.0,2.4,4.0,113.0891781,79.0
Truck 1,28-Jul-16,06.03.15.000000000 AM,313.0,431.0,17.0,356.0,1.7,71.0,932.0,4.8,6.0,118.7672958,84.0
Truck 1,28-Jul-16,06.34.38.000000000 AM,339.5,349.0,623.0,654.0,4.6,55.0,866.0,4.8,4.0,138.6407078,78.0
Truck 1,28-Jul-16,07.18.52.000000000 AM,318.0,342.0,136.0,686.0,4.8,61.0,863.0,4.8,4.0,131.5430607,82.0
Truck 1,28-Jul-16,07.55.09.000000000 AM,335.4,165.0,250.0,682.0,4.6,2253.0,974.0,4.9,4.0,153.7823551,102.0
Truck 1,28-Jul-16,09.10.10.000000000 AM,310.2,256.0,255.0,710.0,4.6,69.0,673.0,3.5,4.0,108.8305898,67.0
Truck 1,28-Jul-16,09.44.15.000000000 AM,357.2,292.0,90.0,591.0,3.6,674.0,1009.0,4.1,5.0,157.0945904,68.0
Truck 1,28-Jul-16,06.16.21.000000000 PM,311.3,268.0,3236.0,670.0,4.6,1193.0,1499.0,6.4,6.0,242.2663563,103.0
Truck 1,29-Jul-16,02.08.25.000000000 AM,278.9,213.0,2650.0,662.0,3.8,137.0,662.0,3.0,4.0,148.1042374,84.0
Truck 1,29-Jul-16,04.33.56.000000000 AM,302.1,271.0,610.0,475.0,1.9,92.0,620.0,3.0,6.0,100.3134132,98.0
Truck 1,29-Jul-16,05.09.49.000000000 AM,338.0,249.0,78.0,504.0,2.2,70.0,498.0,2.2,5.0,90.84988363,54.0
Truck 1,29-Jul-16,05.34.06.000000000 AM,321.7,119.0,20.0,866.0,4.8,377.0,768.0,3.0,4.0,149.9969433,84.0
Truck 1,29-Jul-16,06.11.27.000000000 AM,375.4,176.0,137.0,331.0,1.2,107.0,614.0,2.8,5.0,81.85953056,64.0
Truck 1,29-Jul-16,06.35.09.000000000 AM,311.6,253.0,322.0,252.0,0.8,162.0,522.0,2.2,6.0,88.48400124,48.0
Truck 1,29-Jul-16,07.01.24.000000000 AM,313.6,544.0,7.0,503.0,2.2,97.0,498.0,2.2,6.0,87.53764829,51.0
Truck 1,29-Jul-16,07.30.02.000000000 AM,304.8,237.0,17.0,518.0,2.2,124.0,543.0,2.2,5.0,93.68894249,52.0
Truck 1,29-Jul-16,07.55.01.000000000 AM,328.7,355.0,22.0,462.0,2.2,84.0,498.0,2.2,5.0,85.1717659,57.0
Truck 1,29-Jul-16,08.19.40.000000000 AM,324.9,106.0,2768.0,845.0,4.8,209.0,725.0,3.0,3.0,155.675061,87.0
Truck 1,29-Jul-16,09.40.26.000000000 AM,334.4,147.0,12.0,373.0,1.9,948.0,859.0,4.3,5.0,137.6943549,60.0
Truck 1,29-Jul-16,10.20.59.000000000 AM,354.1,156.0,160.0,741.0,3.6,110.0,781.0,3.0,5.0,131.5430607,67.0
Truck 1,29-Jul-16,10.54.49.000000000 AM,336.7,151.0,362.0,505.0,3.3,62.0,618.0,3.0,4.0,119.2404723,98.0
Truck 1,29-Jul-16,12.40.55.000000000 PM,325.8,127.0,741.0,230.0,0.4,78.0,641.0,3.0,4.0,92.74258954,77.0
Truck 1,29-Jul-16,01.12.31.000000000 PM,351.1,200.0,41.0,462.0,2.2,79.0,527.0,2.2,4.0,90.37670715,66.0
Truck 1,29-Jul-16,01.35.13.000000000 PM,336.4,162.0,413.0,685.0,3.0,65.0,729.0,3.0,5.0,129.6503548,87.0
Truck 1,29-Jul-16,02.10.55.000000000 PM,329.9,85.0,92.0,559.0,2.4,107.0,545.0,2.2,3.0,95.10847192,93.0
Truck 1,29-Jul-16,02.35.02.000000000 PM,382.8,219.0,16.0,815.0,4.6,122.0,412.0,1.7,3.0,79.49364817,84.0
Truck 1,29-Jul-16,03.02.34.000000000 PM,387.7,81.0,212.0,525.0,1.7,81.0,443.0,1.7,3.0,62.45929499,71.0
Truck 1,29-Jul-16,03.25.54.000000000 PM,380.0,101.0,34.0,286.0,1.1,344.0,819.0,3.0,3.0,123.0258841,69.0
Truck 1,29-Jul-16,03.53.25.000000000 PM,325.6,151.0,567.0,677.0,3.8,233.0,732.0,2.8,4.0,133.4357666,66.0
Truck 1,29-Jul-16,04.34.26.000000000 PM,341.7,148.0,2060.0,1504.0,10.4,315.0,674.0,2.5,4.0,239.900474,142.0
Truck 1,29-Jul-16,06.21.56.000000000 PM,310.2,109.0,268.0,381.0,1.7,60.0,438.0,2.2,2.0,73.34235397,62.0
Truck 1,29-Jul-16,06.43.48.000000000 PM,336.0,179.0,772.0,734.0,3.5,101.0,653.0,3.0,5.0,128.2308253,104.0
Truck 1,29-Jul-16,07.26.08.000000000 PM,371.2,171.0,6.0,572.0,3.0,70.0,634.0,3.0,4.0,117.8209428,104.0
Truck 1,29-Jul-16,09.18.46.000000000 PM,24.2,314.0,860.0,564.0,2.5,504.0,707.0,3.3,5.0,122.5527076,125.0
Truck 1,29-Jul-16,10.10.00.000000000 PM,320.2,136.0,811.0,712.0,4.8,620.0,862.0,3.5,4.0,181.6997673,119.0
Truck 1,29-Jul-16,11.04.32.000000000 PM,351.7,370.0,13.0,331.0,2.4,78.0,587.0,3.0,5.0,96.05482488,83.0
Truck 1,29-Jul-16,11.28.29.000000000 PM,343.8,174.0,419.0,556.0,2.8,103.0,492.0,2.2,5.0,88.95717772,66.0
Truck 1,29-Jul-16,11.58.46.000000000 PM,327.8,143.0,14.0,492.0,2.4,88.0,431.0,2.4,4.0,86.59129533,61.0
Truck 1,30-Jul-16,12.19.03.000000000 AM,360.9,133.0,5.0,576.0,4.1,203.0,910.0,4.8,4.0,167.5044729,94.0
Truck 1,30-Jul-16,12.50.49.000000000 AM,295.2,209.0,835.0,1446.0,10.5,92.0,1211.0,5.6,6.0,284.8522393,209.0
Truck 1,30-Jul-16,01.56.44.000000000 AM,316.3,226.0,668.0,727.0,4.6,2040.0,1394.0,7.5,3.0,223.3392972,153.0
Truck 1,30-Jul-16,03.24.31.000000000 AM,332.1,124.0,711.0,870.0,6.2,623.0,1438.0,7.5,3.0,235.1687092,171.0
Truck 1,30-Jul-16,04.56.34.000000000 AM,304.7,130.0,521.0,1251.0,7.2,542.0,1373.0,5.7,4.0,256.4616507,118.0
Truck 1,30-Jul-16,10.12.17.000000000 AM,299.2,197.0,410.0,558.0,2.5,165.0,657.0,3.0,4.0,98.42070726,71.0
Truck 1,30-Jul-16,10.46.51.000000000 AM,334.5,170.0,122.0,706.0,4.4,449.0,771.0,3.5,5.0,141.4797667,82.0
Truck 1,30-Jul-16,11.25.22.000000000 AM,352.4,124.0,175.0,562.0,3.6,562.0,767.0,3.6,4.0,127.7576489,64.0
Truck 1,30-Jul-16,01.41.23.000000000 PM,363.8,167.0,153.0,471.0,2.0,80.0,1357.0,7.0,5.0,195.8950616,72.0
Truck 1,30-Jul-16,02.20.05.000000000 PM,350.0,167.0,47.0,1057.0,7.8,425.0,1339.0,5.4,5.0,246.5249446,72.0
Truck 1,30-Jul-16,03.12.47.000000000 PM,289.3,121.0,335.0,825.0,5.6,249.0,1476.0,4.8,3.0,240.8468269,94.0
Truck 1,30-Jul-16,04.05.00.000000000 PM,358.3,133.0,109.0,446.0,3.0,650.0,889.0,3.6,4.0,149.0505903,72.0
Truck 1,30-Jul-16,04.43.39.000000000 PM,341.7,232.0,40.0,493.0,2.2,762.0,1062.0,4.3,4.0,188.3242379,78.0
Truck 1,30-Jul-16,05.28.38.000000000 PM,355.8,172.0,2479.0,950.0,4.6,96.0,604.0,3.5,5.0,125.8649429,122.0
Truck 1,30-Jul-16,06.43.18.000000000 PM,347.6,111.0,164.0,343.0,1.7,102.0,343.0,1.7,4.0,57.25435374,50.0
Truck 1,30-Jul-16,07.01.46.000000000 PM,370.5,142.0,162.0,539.0,3.0,89.0,1267.0,6.4,4.0,209.1440029,78.0
Truck 1,30-Jul-16,07.39.59.000000000 PM,385.5,141.0,78.0,761.0,6.0,718.0,801.0,2.8,5.0,156.1482375,87.0
Truck 1,30-Jul-16,08.53.31.000000000 PM,349.5,155.0,195.0,340.0,2.4,1071.0,877.0,3.5,5.0,163.7190611,82.0
Truck 1,30-Jul-16,09.39.21.000000000 PM,337.8,130.0,390.0,855.0,5.6,141.0,1290.0,5.4,4.0,236.1150621,108.0
Truck 1,30-Jul-16,10.28.01.000000000 PM,391.8,225.0,312.0,1373.0,9.1,85.0,1197.0,6.2,5.0,268.7642391,130.0
Truck 1,30-Jul-16,11.23.29.000000000 PM,309.9,211.0,629.0,1173.0,7.3,62.0,1270.0,5.6,5.0,255.0421212,107.0
Truck 1,31-Jul-16,12.21.37.000000000 AM,294.8,394.0,7.0,241.0,1.2,93.0,473.0,2.4,6.0,70.03011863,50.0
Truck 1,31-Jul-16,12.42.36.000000000 AM,269.3,293.0,151.0,502.0,2.4,91.0,579.0,2.4,5.0,87.53764829,63.0
Truck 1,31-Jul-16,01.10.39.000000000 AM,312.5,283.0,2079.0,1922.0,9.2,139.0,720.0,2.4,4.0,205.8317676,138.0
Truck 1,31-Jul-16,03.05.14.000000000 AM,377.4,145.0,282.0,1297.0,4.0,1058.0,1944.0,8.0,5.0,273.9691803,132.0
Truck 1,31-Jul-16,04.56.18.000000000 AM,348.0,334.0,2734.0,1059.0,5.6,74.0,936.0,4.3,5.0,186.9047085,77.0
Truck 1,31-Jul-16,06.25.33.000000000 AM,305.0,141.0,5.0,715.0,4.6,68.0,946.0,4.8,4.0,149.9969433,82.0
Truck 1,31-Jul-16,06.58.09.000000000 AM,349.7,163.0,12.0,711.0,4.6,4140.0,1144.0,4.6,4.0,173.6557671,109.0
Truck 1,31-Jul-16,08.45.16.000000000 AM,274.1,163.0,2462.0,1794.0,7.6,66.0,501.0,2.4,4.0,165.1385906,129.0
Truck 1,31-Jul-16,10.11.56.000000000 AM,322.2,142.0,248.0,1081.0,4.8,2829.0,1420.0,6.5,4.0,238.007768,126.0
Truck 1,31-Jul-16,12.34.28.000000000 PM,328.4,235.0,341.0,752.0,4.1,146.0,1410.0,6.5,7.0,212.4562383,90.0
Truck 1,31-Jul-16,01.24.36.000000000 PM,381.1,148.0,76.0,791.0,6.0,83.0,881.0,4.6,4.0,157.5677669,73.0
Truck 1,31-Jul-16,01.58.58.000000000 PM,320.7,225.0,1070.0,1082.0,5.9,373.0,924.0,3.6,6.0,198.7341204,78.0
Truck 1,31-Jul-16,03.02.46.000000000 PM,327.9,134.0,1483.0,979.0,4.6,568.0,764.0,2.5,3.0,156.621414,59.0
Truck 1,31-Jul-16,04.10.59.000000000 PM,361.8,294.0,168.0,589.0,2.5,847.0,825.0,2.4,5.0,138.1675313,57.0
