MACH_SER_NO,OCUR_TS Date,OCUR_TS Time,PAYLD_WT,LD_TM,EMTY_STOP_TM,EMTY_TRAV_TM,EMTY_TRAV_DSTNC,LD_STOP_TM,LD_TRAV_TM,LD_TRAV_DSTNC,LD_PASS_CT,FUEL_USED_IN_CYC,SHFT_CT
Truck 1,22-Jul-16,05.44.52.000000000 AM,349.7,193.0,454.0,711.0,3.6,648.0,610.0,2.8,5.0,77.60094226,79.0
Truck 1,22-Jul-16,06.30.20.000000000 AM,336.5,323.0,99.0,177.0,0.6,56.0,1225.0,6.8,6.0,177.9143554,73.0
Truck 1,22-Jul-16,07.02.59.000000000 AM,356.3,321.0,864.0,867.0,5.7,61.0,857.0,4.6,4.0,138.1675313,100.0
Truck 1,22-Jul-16,07.54.33.000000000 AM,343.1,361.0,594.0,667.0,4.6,63.0,871.0,4.6,4.0,140.0602373,99.0
Truck 1,22-Jul-16,08.38.55.000000000 AM,379.3,218.0,689.0,894.0,6.4,3725.0,1130.0,4.4,5.0,219.080709,103.0
Truck 1,22-Jul-16,10.34.28.000000000 AM,330.7,305.0,874.0,718.0,4.1,843.0,681.0,2.5,4.0,131.5430607,85.0
Truck 1,22-Jul-16,11.33.53.000000000 AM,353.5,107.0,191.0,464.0,2.4,61.0,705.0,2.7,4.0,129.6503548,67.0
Truck 1,22-Jul-16,12.36.40.000000000 PM,335.2,131.0,421.0,600.0,3.8,62.0,615.0,2.2,4.0,119.2404723,83.0
Truck 1,22-Jul-16,01.08.26.000000000 PM,342.8,465.0,249.0,315.0,1.6,238.0,516.0,3.2,6.0,63.40564795,54.0
Truck 1,22-Jul-16,01.39.23.000000000 PM,366.2,253.0,31.0,215.0,0.8,164.0,430.0,2.2,4.0,66.24470681,62.0
Truck 1,23-Jul-16,04.45.07.000000000 AM,389.3,648.0,673.0,513.0,2.2,67.0,437.0,2.2,5.0,93.68894249,97.0
Truck 1,23-Jul-16,05.25.42.000000000 AM,340.2,135.0,147.0,630.0,4.0,148.0,1352.0,7.0,4.0,178.3875319,112.0
Truck 1,23-Jul-16,06.07.35.000000000 AM,394.0,340.0,147.0,827.0,5.9,1270.0,1008.0,4.0,4.0,188.3242379,116.0
Truck 1,23-Jul-16,07.09.54.000000000 AM,337.8,345.0,20.0,769.0,4.8,176.0,1053.0,5.1,6.0,139.5870608,145.0
Truck 1,23-Jul-16,07.50.57.000000000 AM,331.6,192.0,220.0,577.0,2.7,2450.0,1387.0,7.5,5.0,222.8661208,140.0
Truck 1,23-Jul-16,09.14.46.000000000 AM,363.3,225.0,543.0,659.0,5.1,64.0,829.0,4.6,4.0,133.9089431,113.0
Truck 1,23-Jul-16,09.55.03.000000000 AM,358.1,156.0,13.0,557.0,4.1,1225.0,754.0,3.0,4.0,125.3917665,114.0
Truck 1,23-Jul-16,10.42.00.000000000 AM,370.8,151.0,141.0,440.0,3.2,59.0,624.0,2.2,5.0,114.981884,75.0
Truck 1,23-Jul-16,09.49.55.000000000 PM,398.2,112.0,397.0,592.0,4.0,336.0,620.0,3.3,4.0,92.74258954,64.0
Truck 1,23-Jul-16,10.25.44.000000000 PM,361.7,104.0,228.0,459.0,2.7,1041.0,1030.0,4.0,4.0,165.611767,47.0
Truck 1,23-Jul-16,11.15.27.000000000 PM,338.5,148.0,8.0,682.0,5.4,675.0,976.0,3.6,4.0,171.7630612,43.0
Truck 1,23-Jul-16,11.58.42.000000000 PM,384.1,216.0,27.0,341.0,1.6,80.0,929.0,4.6,6.0,129.1771783,37.0
Truck 1,24-Jul-16,12.26.22.000000000 AM,396.3,109.0,167.0,713.0,4.6,970.0,762.0,3.5,4.0,129.6503548,58.0
Truck 1,24-Jul-16,01.13.37.000000000 AM,353.1,124.0,14.0,495.0,3.5,117.0,1024.0,4.0,4.0,151.4164727,53.0
Truck 1,24-Jul-16,01.44.25.000000000 AM,356.2,195.0,1795.0,672.0,4.1,75.0,636.0,2.7,4.0,126.3381194,49.0
Truck 1,24-Jul-16,02.43.00.000000000 AM,343.2,113.0,4.0,342.0,2.2,499.0,752.0,3.0,4.0,117.8209428,43.0
Truck 1,24-Jul-16,03.12.42.000000000 AM,302.0,190.0,141.0,342.0,2.2,660.0,689.0,2.8,5.0,114.035531,47.0
Truck 1,24-Jul-16,04.39.40.000000000 AM,344.9,168.0,2142.0,811.0,4.6,100.0,1000.0,3.8,5.0,170.8167083,85.0
Truck 1,24-Jul-16,05.53.04.000000000 AM,331.8,160.0,329.0,1792.0,9.4,183.0,1000.0,3.8,4.0,222.3929443,111.0
