MACH_SER_NO,OCUR_TS Date,OCUR_TS Time,PAYLD_WT,LD_TM,EMTY_STOP_TM,EMTY_TRAV_TM,EMTY_TRAV_DSTNC,LD_STOP_TM,LD_TRAV_TM,LD_TRAV_DSTNC,LD_PASS_CT,FUEL_USED_IN_CYC,SHFT_CT,OCUR_TS_LOCAL
Truck 1,22-Jul-16,05.44.52.000000000 AM,349.7,193,454,711,3.6,648,610,2.8,5,77.60094226,79,22-JUL-16 12.44.52.000000000 AM
Truck 1,22-Jul-16,06.30.20.000000000 AM,336.5,323,99,177,0.6,56,1225,6.8,6,177.9143554,73,22-JUL-16 01.30.20.000000000 AM
Truck 1,22-Jul-16,07.02.59.000000000 AM,356.3,321,864,867,5.7,61,857,4.6,4,138.1675313,100,22-JUL-16 02.02.59.000000000 AM
Truck 1,22-Jul-16,07.54.33.000000000 AM,343.1,361,594,667,4.6,63,871,4.6,4,140.0602373,99,22-JUL-16 02.54.33.000000000 AM
Truck 1,22-Jul-16,08.38.55.000000000 AM,379.3,218,689,894,6.4,3725,1130,4.4,5,219.080709,103,22-JUL-16 03.38.55.000000000 AM
Truck 1,22-Jul-16,10.34.28.000000000 AM,330.7,305,874,718,4.1,843,681,2.5,4,131.5430607,85,22-JUL-16 05.34.28.000000000 AM
Truck 1,22-Jul-16,11.33.53.000000000 AM,353.5,107,191,464,2.4,61,705,2.7,4,129.6503548,67,22-JUL-16 06.33.53.000000000 AM
Truck 1,22-Jul-16,12.36.40.000000000 PM,335.2,131,421,600,3.8,62,615,2.2,4,119.2404723,83,22-JUL-16 07.36.40.000000000 AM
Truck 1,22-Jul-16,01.08.26.000000000 PM,342.8,465,249,315,1.6,238,516,3.2,6,63.40564795,54,22-JUL-16 08.08.26.000000000 AM
Truck 1,22-Jul-16,01.39.23.000000000 PM,366.2,253,31,215,0.8,164,430,2.2,4,66.24470681,62,22-JUL-16 08.39.23.000000000 AM
Truck 1,23-Jul-16,04.45.07.000000000 AM,389.3,648,673,513,2.2,67,437,2.2,5,93.68894249,97,22-JUL-16 11.45.07.000000000 PM
Truck 1,23-Jul-16,05.25.42.000000000 AM,340.2,135,147,630,4,148,1352,7,4,178.3875319,112,23-JUL-16 12.25.42.000000000 AM
Truck 1,23-Jul-16,06.07.35.000000000 AM,394,340,147,827,5.9,1270,1008,4,4,188.3242379,116,23-JUL-16 01.07.35.000000000 AM
Truck 1,23-Jul-16,07.09.54.000000000 AM,337.8,345,20,769,4.8,176,1053,5.1,6,139.5870608,145,23-JUL-16 02.09.54.000000000 AM
Truck 1,23-Jul-16,07.50.57.000000000 AM,331.6,192,220,577,2.7,2450,1387,7.5,5,222.8661208,140,23-JUL-16 02.50.57.000000000 AM
Truck 1,23-Jul-16,09.14.46.000000000 AM,363.3,225,543,659,5.1,64,829,4.6,4,133.9089431,113,23-JUL-16 04.14.46.000000000 AM
Truck 1,23-Jul-16,09.55.03.000000000 AM,358.1,156,13,557,4.1,1225,754,3,4,125.3917665,114,23-JUL-16 04.55.03.000000000 AM
Truck 1,23-Jul-16,10.42.00.000000000 AM,370.8,151,141,440,3.2,59,624,2.2,5,114.981884,75,23-JUL-16 05.42.00.000000000 AM
Truck 1,23-Jul-16,09.49.55.000000000 PM,398.2,112,397,592,4,336,620,3.3,4,92.74258954,64,23-JUL-16 04.49.55.000000000 PM
Truck 1,23-Jul-16,10.25.44.000000000 PM,361.7,104,228,459,2.7,1041,1030,4,4,165.611767,47,23-JUL-16 05.25.44.000000000 PM
Truck 1,23-Jul-16,11.15.27.000000000 PM,338.5,148,8,682,5.4,675,976,3.6,4,171.7630612,43,23-JUL-16 06.15.27.000000000 PM
Truck 1,23-Jul-16,11.58.42.000000000 PM,384.1,216,27,341,1.6,80,929,4.6,6,129.1771783,37,23-JUL-16 06.58.42.000000000 PM
Truck 1,24-Jul-16,12.26.22.000000000 AM,396.3,109,167,713,4.6,970,762,3.5,4,129.6503548,58,23-JUL-16 07.26.22.000000000 PM
Truck 1,24-Jul-16,01.13.37.000000000 AM,353.1,124,14,495,3.5,117,1024,4,4,151.4164727,53,23-JUL-16 08.13.37.000000000 PM
Truck 1,24-Jul-16,01.44.25.000000000 AM,356.2,195,1795,672,4.1,75,636,2.7,4,126.3381194,49,23-JUL-16 08.44.25.000000000 PM
Truck 1,24-Jul-16,02.43.00.000000000 AM,343.2,113,4,342,2.2,499,752,3,4,117.8209428,43,23-JUL-16 09.43.00.000000000 PM
Truck 1,24-Jul-16,03.12.42.000000000 AM,302,190,141,342,2.2,660,689,2.8,5,114.035531,47,23-JUL-16 10.12.42.000000000 PM
Truck 1,24-Jul-16,04.39.40.000000000 AM,344.9,168,2142,811,4.6,100,1000,3.8,5,170.8167083,85,23-JUL-16 11.39.40.000000000 PM
Truck 1,24-Jul-16,05.53.04.000000000 AM,331.8,160,329,1792,9.4,183,1000,3.8,4,222.3929443,111,24-JUL-16 12.53.04.000000000 AM
Truck 1,24-Jul-16,06.53.14.000000000 AM,313.6,134,335,348,1.4,257,916,4.3,4,122.5527076,61,24-JUL-16 01.53.14.000000000 AM
Truck 1,24-Jul-16,07.27.49.000000000 AM,386.4,143,5681,1077,5.4,79,1224,6,4,201.1000028,105,24-JUL-16 02.27.49.000000000 AM
Truck 1,24-Jul-16,09.50.25.000000000 AM,327.6,154,129,1164,6.8,1021,1354,5.6,4,239.4272975,123,24-JUL-16 04.50.25.000000000 AM
Truck 1,24-Jul-16,10.56.50.000000000 AM,327.3,127,347,697,3.8,971,713,2.8,3,116.4014134,61,24-JUL-16 05.56.50.000000000 AM
Truck 1,24-Jul-16,01.07.38.000000000 PM,364.5,327,242,834,4.1,56,967,6,4,142.8992961,106,24-JUL-16 08.07.38.000000000 AM
Truck 1,24-Jul-16,01.49.47.000000000 PM,323.2,122,276,845,6.8,612,1614,7.3,4,249.83718,140,24-JUL-16 08.49.47.000000000 AM
Truck 1,24-Jul-16,02.50.01.000000000 PM,301.6,154,3,479,3,763,805,3.6,4,144.3188256,73,24-JUL-16 09.50.01.000000000 AM
Truck 1,24-Jul-16,03.28.17.000000000 PM,399.2,494,26,970,6.2,100,551,2.8,5,130.5967077,110,24-JUL-16 10.28.17.000000000 AM
Truck 1,25-Jul-16,10.26.31.000000000 AM,315.3,209,204,1075,4.6,75,650,2.4,3,116.8745899,78,25-JUL-16 05.26.31.000000000 AM
Truck 1,25-Jul-16,11.04.59.000000000 AM,380.6,126,188,523,2.2,567,665,2.4,4,116.8745899,63,25-JUL-16 06.04.59.000000000 AM
Truck 1,25-Jul-16,11.40.55.000000000 AM,371.8,113,15,469,2.2,1076,1663,7.6,4,212.4562383,122,25-JUL-16 06.40.55.000000000 AM
Truck 1,25-Jul-16,01.46.29.000000000 PM,338.5,272,688,580,2.2,92,627,2.4,4,117.3477664,71,25-JUL-16 08.46.29.000000000 AM
Truck 1,25-Jul-16,02.25.42.000000000 PM,371.9,172,10,240,1.1,977,692,3,4,106.4647074,53,25-JUL-16 09.25.42.000000000 AM
Truck 1,25-Jul-16,03.02.01.000000000 PM,363.2,110,172,537,3.5,79,1117,6.2,4,186.431532,95,25-JUL-16 10.02.01.000000000 AM
Truck 1,25-Jul-16,03.37.00.000000000 PM,374.2,128,222,892,5.9,450,1080,4.1,3,187.377885,94,25-JUL-16 10.37.00.000000000 AM
Truck 1,25-Jul-16,04.25.10.000000000 PM,333.1,291,1844,674,4,253,791,3.6,4,143.8456491,117,25-JUL-16 11.25.10.000000000 AM
Truck 1,25-Jul-16,05.32.05.000000000 PM,357.3,143,11,234,1.4,535,633,3,4,105.0451779,52,25-JUL-16 12.32.05.000000000 PM
Truck 1,25-Jul-16,05.59.06.000000000 PM,353.7,123,164,554,3.6,660,751,3.5,4,120.1868252,67,25-JUL-16 12.59.06.000000000 PM
Truck 1,25-Jul-16,06.38.12.000000000 PM,379.6,190,32,495,3.5,465,574,3,5,84.69858942,69,25-JUL-16 01.38.12.000000000 PM
Truck 1,25-Jul-16,07.08.43.000000000 PM,332.1,157,19,354,2.2,759,842,3.6,4,151.4164727,76,25-JUL-16 02.08.43.000000000 PM
Truck 1,25-Jul-16,07.45.46.000000000 PM,349,201,51,512,3.6,639,929,3.5,4,163.7190611,135,25-JUL-16 02.45.46.000000000 PM
Truck 1,25-Jul-16,08.53.27.000000000 PM,329,157,433,726,3.5,1817,970,3.8,4,169.8703553,83,25-JUL-16 03.53.27.000000000 PM
Truck 1,25-Jul-16,10.04.41.000000000 PM,328.2,245,1099,679,3.6,66,1251,6.4,5,193.0560027,94,25-JUL-16 05.04.41.000000000 PM
Truck 1,25-Jul-16,11.02.44.000000000 PM,354.1,183,30,1024,6,1321,1311,5.4,5,213.8757677,120,25-JUL-16 06.02.44.000000000 PM
Truck 1,26-Jul-16,12.09.55.000000000 AM,346.1,171,94,257,0.4,703,518,2.2,5,74.7618834,44,25-JUL-16 07.09.55.000000000 PM
Truck 1,26-Jul-16,12.40.12.000000000 AM,337.6,117,46,740,4,226,699,3,4,123.0258841,78,25-JUL-16 07.40.12.000000000 PM
Truck 1,26-Jul-16,01.11.55.000000000 AM,343,116,2548,874,4,104,658,2.4,4,138.1675313,69,25-JUL-16 08.11.55.000000000 PM
Truck 1,26-Jul-16,03.05.35.000000000 AM,319.6,154,84,793,3.6,726,788,2.8,4,122.0795311,64,25-JUL-16 10.05.35.000000000 PM
Truck 1,26-Jul-16,04.32.36.000000000 AM,298.2,207,564,425,3.3,1961,1514,8.3,5,218.6075325,124,25-JUL-16 11.32.36.000000000 PM
Truck 1,26-Jul-16,05.53.48.000000000 AM,346.9,194,457,800,6,848,784,2.8,3,144.792002,122,26-JUL-16 12.53.48.000000000 AM
Truck 1,26-Jul-16,06.47.17.000000000 AM,344,185,418,553,3.6,142,924,3.8,5,172.7094142,117,26-JUL-16 01.47.17.000000000 AM
Truck 1,26-Jul-16,07.25.52.000000000 AM,351.3,136,74,282,1.4,787,542,2.8,4,67.19105977,64,26-JUL-16 02.25.52.000000000 AM
Truck 1,26-Jul-16,07.57.29.000000000 AM,294.1,189,12,154,0.4,779,643,2.8,4,84.69858942,56,26-JUL-16 02.57.29.000000000 AM
Truck 1,26-Jul-16,08.28.19.000000000 AM,328.9,137,2251,608,2.4,84,469,2.2,4,96.52800135,104,26-JUL-16 03.28.19.000000000 AM
Truck 1,26-Jul-16,09.29.55.000000000 AM,391,185,1432,811,5.1,304,955,4,4,186.431532,114,26-JUL-16 04.29.55.000000000 AM
Truck 1,26-Jul-16,10.33.57.000000000 AM,339.8,205,1427,688,5.4,233,1315,5.6,5,233.2760033,106,26-JUL-16 05.33.57.000000000 AM
Truck 1,26-Jul-16,12.57.22.000000000 PM,316.5,172,848,655,5.4,1678,1223,5.6,4,226.1783561,113,26-JUL-16 07.57.22.000000000 AM
Truck 1,26-Jul-16,02.16.50.000000000 PM,320.4,119,506,631,5.4,92,893,3.6,4,167.5044729,108,26-JUL-16 09.16.50.000000000 AM
Truck 1,26-Jul-16,02.55.47.000000000 PM,343.1,134,170,334,2.4,225,620,2.4,4,111.1964721,72,26-JUL-16 09.55.47.000000000 AM
Truck 1,26-Jul-16,03.21.33.000000000 PM,364,347,177,306,1.6,1359,963,5.7,5,124.4454135,78,26-JUL-16 10.21.33.000000000 AM
Truck 1,26-Jul-16,04.16.18.000000000 PM,298.9,131,9,129,0.6,2001,1188,6.7,4,176.9680025,92,26-JUL-16 11.16.18.000000000 AM
Truck 1,26-Jul-16,05.57.02.000000000 PM,309.6,350,100,685,4.1,353,573,3.2,3,80.91317761,65,26-JUL-16 12.57.02.000000000 PM
Truck 1,26-Jul-16,06.32.50.000000000 PM,339.6,175,708,421,3,60,821,4.6,4,132.9625901,64,26-JUL-16 01.32.50.000000000 PM
Truck 1,26-Jul-16,07.10.49.000000000 PM,290.1,90,122,840,6.4,857,970,4.1,3,174.1289436,59,26-JUL-16 02.10.49.000000000 PM
Truck 1,26-Jul-16,09.05.29.000000000 PM,391.6,138,950,592,3.6,187,981,4,5,182.6461202,89,26-JUL-16 04.05.29.000000000 PM
Truck 1,26-Jul-16,09.54.57.000000000 PM,344,281,326,1196,6.5,78,1228,6.7,6,233.7491797,115,26-JUL-16 04.54.57.000000000 PM
Truck 1,26-Jul-16,10.48.57.000000000 PM,342.3,131,537,893,6,189,593,2.2,4,101.2597661,83,26-JUL-16 05.48.57.000000000 PM
Truck 1,26-Jul-16,11.29.38.000000000 PM,404.1,241,105,855,5.1,191,1511,7.6,4,219.080709,107,26-JUL-16 06.29.38.000000000 PM
Truck 1,27-Jul-16,12.20.04.000000000 AM,345.6,151,1348,935,6,85,669,2.4,5,140.5334137,72,26-JUL-16 07.20.04.000000000 PM
Truck 1,27-Jul-16,01.15.26.000000000 AM,362,144,4636,882,4,397,1397,5.6,4,267.8178861,92,26-JUL-16 08.15.26.000000000 PM
Truck 1,27-Jul-16,03.24.53.000000000 AM,337.7,165,20,684,5.4,1133,1326,5.4,4,229.4905915,102,26-JUL-16 10.24.53.000000000 PM
Truck 1,27-Jul-16,04.47.32.000000000 AM,308.1,149,405,380,1.6,139,597,2.4,5,70.97647158,52,26-JUL-16 11.47.32.000000000 PM
Truck 1,27-Jul-16,05.16.32.000000000 AM,286.2,171,32,484,2.2,319,580,2.2,4,86.11811885,74,27-JUL-16 12.16.32.000000000 AM
Truck 1,27-Jul-16,05.44.05.000000000 AM,282,181,96,1190,7.2,231,1205,5.4,4,221.4465913,121,27-JUL-16 12.44.05.000000000 AM
Truck 1,27-Jul-16,06.34.32.000000000 AM,326.3,171,13,417,1.9,92,1367,6.8,4,179.8070613,80,27-JUL-16 01.34.32.000000000 AM
Truck 1,27-Jul-16,07.10.19.000000000 AM,318.3,148,152,861,5.2,95,697,3.5,4,100.3134132,73,27-JUL-16 02.10.19.000000000 AM
Truck 1,27-Jul-16,08.11.52.000000000 AM,330.8,174,3622,945,4.8,763,772,3,4,149.9969433,104,27-JUL-16 03.11.52.000000000 AM
Truck 1,27-Jul-16,10.00.51.000000000 AM,356,351,683,481,2,65,897,4.8,4,129.1771783,72,27-JUL-16 05.00.51.000000000 AM
Truck 1,27-Jul-16,10.43.53.000000000 AM,355.9,161,183,535,4.1,893,545,2.8,4,80.91317761,87,27-JUL-16 05.43.53.000000000 AM
Truck 1,27-Jul-16,11.24.06.000000000 AM,365.6,234,12,452,2.7,77,836,4.3,5,133.4357666,73,27-JUL-16 06.24.06.000000000 AM
Truck 1,27-Jul-16,12.41.27.000000000 PM,304.2,131,403,340,2,839,406,2.2,4,69.55694215,60,27-JUL-16 07.41.27.000000000 AM
Truck 1,27-Jul-16,01.18.15.000000000 PM,344,297,402,451,3,103,693,4,4,121.1331782,82,27-JUL-16 08.18.15.000000000 AM
Truck 1,27-Jul-16,01.52.04.000000000 PM,358.7,152,4,431,3.5,403,405,2.2,4,65.77153033,53,27-JUL-16 08.52.04.000000000 AM
Truck 1,27-Jul-16,02.16.18.000000000 PM,306.5,174,254,637,5.6,120,1025,4,4,187.377885,98,27-JUL-16 09.16.18.000000000 AM
Truck 1,27-Jul-16,02.54.42.000000000 PM,383.5,185,17,455,2.8,79,983,6.2,4,188.3242379,123,27-JUL-16 09.54.42.000000000 AM
Truck 1,27-Jul-16,03.24.32.000000000 PM,336.1,141,317,740,6,72,443,2.2,3,89.90353067,93,27-JUL-16 10.24.32.000000000 AM
Truck 1,27-Jul-16,03.54.16.000000000 PM,375,144,51,413,2.2,261,490,2.2,4,86.11811885,92,27-JUL-16 10.54.16.000000000 AM
Truck 1,27-Jul-16,04.17.54.000000000 PM,313.9,177,1789,731,4.9,107,437,2.4,4,112.6160016,116,27-JUL-16 11.17.54.000000000 AM
Truck 1,27-Jul-16,05.14.12.000000000 PM,360.1,195,19,399,2.2,61,461,2.2,4,80.91317761,73,27-JUL-16 12.14.12.000000000 PM
Truck 1,27-Jul-16,05.33.56.000000000 PM,372.7,253,281,561,2.8,68,577,2.8,6,102.6792956,106,27-JUL-16 12.33.56.000000000 PM
Truck 1,27-Jul-16,06.04.10.000000000 PM,385.5,348,15,544,2.8,63,640,2.8,5,100.3134132,89,27-JUL-16 01.04.10.000000000 PM
Truck 1,27-Jul-16,06.32.07.000000000 PM,298.3,330,151,681,4.6,65,1128,7.2,5,188.7974144,125,27-JUL-16 01.32.07.000000000 PM
Truck 1,27-Jul-16,07.13.03.000000000 PM,385.8,347,483,1046,8.8,75,1034,5.9,5,196.368238,120,27-JUL-16 02.13.03.000000000 PM
Truck 1,27-Jul-16,08.44.23.000000000 PM,346,159,1058,485,3,90,845,4.8,5,149.5237668,104,27-JUL-16 03.44.23.000000000 PM
Truck 1,27-Jul-16,10.07.22.000000000 PM,332.7,178,585,344,1.7,167,629,2.8,5,95.5816484,111,27-JUL-16 05.07.22.000000000 PM
Truck 1,27-Jul-16,10.40.26.000000000 PM,333.7,167,33,391,2.2,363,638,2.2,4,87.06447181,90,27-JUL-16 05.40.26.000000000 PM
Truck 1,27-Jul-16,11.08.06.000000000 PM,345.7,136,465,966,4.6,218,986,4.8,4,149.9969433,100,27-JUL-16 06.08.06.000000000 PM
Truck 1,27-Jul-16,11.56.14.000000000 PM,356.1,170,404,574,5.4,163,517,2.2,4,109.3037662,99,27-JUL-16 06.56.14.000000000 PM
Truck 1,28-Jul-16,12.27.58.000000000 AM,315.7,219,25,382,2.2,111,487,2.2,4,84.22541295,106,27-JUL-16 07.27.58.000000000 PM
Truck 1,28-Jul-16,12.49.13.000000000 AM,361.5,133,3050,1103,5.9,78,513,2.2,4,149.5237668,187,27-JUL-16 07.49.13.000000000 PM
Truck 1,28-Jul-16,02.13.53.000000000 AM,343.6,262,804,1469,8.4,64,885,4.8,4,187.8510615,191,27-JUL-16 09.13.53.000000000 PM
Truck 1,28-Jul-16,03.14.25.000000000 AM,332.1,138,50,667,4.6,57,860,4.8,4,141.0065902,114,27-JUL-16 10.14.25.000000000 PM
Truck 1,28-Jul-16,03.45.11.000000000 AM,371.9,147,88,551,4.6,464,1381,8.3,4,175.0752966,168,27-JUL-16 10.45.11.000000000 PM
Truck 1,28-Jul-16,04.54.30.000000000 AM,337.9,143,8,780,5.9,186,701,3.5,4,123.972237,49,27-JUL-16 11.54.30.000000000 PM
Truck 1,28-Jul-16,05.26.03.000000000 AM,340.7,133,63,581,3.3,694,671,2.4,4,113.0891781,79,28-JUL-16 12.26.03.000000000 AM
Truck 1,28-Jul-16,06.03.15.000000000 AM,313,431,17,356,1.7,71,932,4.8,6,118.7672958,84,28-JUL-16 01.03.15.000000000 AM
Truck 1,28-Jul-16,06.34.38.000000000 AM,339.5,349,623,654,4.6,55,866,4.8,4,138.6407078,78,28-JUL-16 01.34.38.000000000 AM
Truck 1,28-Jul-16,07.18.52.000000000 AM,318,342,136,686,4.8,61,863,4.8,4,131.5430607,82,28-JUL-16 02.18.52.000000000 AM
Truck 1,28-Jul-16,07.55.09.000000000 AM,335.4,165,250,682,4.6,2253,974,4.9,4,153.7823551,102,28-JUL-16 02.55.09.000000000 AM
Truck 1,28-Jul-16,09.10.10.000000000 AM,310.2,256,255,710,4.6,69,673,3.5,4,108.8305898,67,28-JUL-16 04.10.10.000000000 AM
Truck 1,28-Jul-16,09.44.15.000000000 AM,357.2,292,90,591,3.6,674,1009,4.1,5,157.0945904,68,28-JUL-16 04.44.15.000000000 AM
Truck 1,28-Jul-16,06.16.21.000000000 PM,311.3,268,3236,670,4.6,1193,1499,6.4,6,242.2663563,103,28-JUL-16 01.16.21.000000000 PM
Truck 1,29-Jul-16,02.08.25.000000000 AM,278.9,213,2650,662,3.8,137,662,3,4,148.1042374,84,28-JUL-16 09.08.25.000000000 PM
Truck 1,29-Jul-16,04.33.56.000000000 AM,302.1,271,610,475,1.9,92,620,3,6,100.3134132,98,28-JUL-16 11.33.56.000000000 PM
Truck 1,29-Jul-16,05.09.49.000000000 AM,338,249,78,504,2.2,70,498,2.2,5,90.84988363,54,29-JUL-16 12.09.49.000000000 AM
Truck 1,29-Jul-16,05.34.06.000000000 AM,321.7,119,20,866,4.8,377,768,3,4,149.9969433,84,29-JUL-16 12.34.06.000000000 AM
Truck 1,29-Jul-16,06.11.27.000000000 AM,375.4,176,137,331,1.2,107,614,2.8,5,81.85953056,64,29-JUL-16 01.11.27.000000000 AM
Truck 1,29-Jul-16,06.35.09.000000000 AM,311.6,253,322,252,0.8,162,522,2.2,6,88.48400124,48,29-JUL-16 01.35.09.000000000 AM
Truck 1,29-Jul-16,07.01.24.000000000 AM,313.6,544,7,503,2.2,97,498,2.2,6,87.53764829,51,29-JUL-16 02.01.24.000000000 AM
Truck 1,29-Jul-16,07.30.02.000000000 AM,304.8,237,17,518,2.2,124,543,2.2,5,93.68894249,52,29-JUL-16 02.30.02.000000000 AM
Truck 1,29-Jul-16,07.55.01.000000000 AM,328.7,355,22,462,2.2,84,498,2.2,5,85.1717659,57,29-JUL-16 02.55.01.000000000 AM
Truck 1,29-Jul-16,08.19.40.000000000 AM,324.9,106,2768,845,4.8,209,725,3,3,155.675061,87,29-JUL-16 03.19.40.000000000 AM
Truck 1,29-Jul-16,09.40.26.000000000 AM,334.4,147,12,373,1.9,948,859,4.3,5,137.6943549,60,29-JUL-16 04.40.26.000000000 AM
Truck 1,29-Jul-16,10.20.59.000000000 AM,354.1,156,160,741,3.6,110,781,3,5,131.5430607,67,29-JUL-16 05.20.59.000000000 AM
Truck 1,29-Jul-16,10.54.49.000000000 AM,336.7,151,362,505,3.3,62,618,3,4,119.2404723,98,29-JUL-16 05.54.49.000000000 AM
Truck 1,29-Jul-16,12.40.55.000000000 PM,325.8,127,741,230,0.4,78,641,3,4,92.74258954,77,29-JUL-16 07.40.55.000000000 AM
Truck 1,29-Jul-16,01.12.31.000000000 PM,351.1,200,41,462,2.2,79,527,2.2,4,90.37670715,66,29-JUL-16 08.12.31.000000000 AM
Truck 1,29-Jul-16,01.35.13.000000000 PM,336.4,162,413,685,3,65,729,3,5,129.6503548,87,29-JUL-16 08.35.13.000000000 AM
Truck 1,29-Jul-16,02.10.55.000000000 PM,329.9,85,92,559,2.4,107,545,2.2,3,95.10847192,93,29-JUL-16 09.10.55.000000000 AM
Truck 1,29-Jul-16,02.35.02.000000000 PM,382.8,219,16,815,4.6,122,412,1.7,3,79.49364817,84,29-JUL-16 09.35.02.000000000 AM
Truck 1,29-Jul-16,03.02.34.000000000 PM,387.7,81,212,525,1.7,81,443,1.7,3,62.45929499,71,29-JUL-16 10.02.34.000000000 AM
Truck 1,29-Jul-16,03.25.54.000000000 PM,380,101,34,286,1.1,344,819,3,3,123.0258841,69,29-JUL-16 10.25.54.000000000 AM
Truck 1,29-Jul-16,03.53.25.000000000 PM,325.6,151,567,677,3.8,233,732,2.8,4,133.4357666,66,29-JUL-16 10.53.25.000000000 AM
Truck 1,29-Jul-16,04.34.26.000000000 PM,341.7,148,2060,1504,10.4,315,674,2.5,4,239.900474,142,29-JUL-16 11.34.26.000000000 AM
Truck 1,29-Jul-16,06.21.56.000000000 PM,310.2,109,268,381,1.7,60,438,2.2,2,73.34235397,62,29-JUL-16 01.21.56.000000000 PM
Truck 1,29-Jul-16,06.43.48.000000000 PM,336,179,772,734,3.5,101,653,3,5,128.2308253,104,29-JUL-16 01.43.48.000000000 PM
Truck 1,29-Jul-16,07.26.08.000000000 PM,371.2,171,6,572,3,70,634,3,4,117.8209428,104,29-JUL-16 02.26.08.000000000 PM
Truck 1,29-Jul-16,09.18.46.000000000 PM,24.2,314,860,564,2.5,504,707,3.3,5,122.5527076,125,29-JUL-16 04.18.46.000000000 PM
Truck 1,29-Jul-16,10.10.00.000000000 PM,320.2,136,811,712,4.8,620,862,3.5,4,181.6997673,119,29-JUL-16 05.10.00.000000000 PM
Truck 1,29-Jul-16,11.04.32.000000000 PM,351.7,370,13,331,2.4,78,587,3,5,96.05482488,83,29-JUL-16 06.04.32.000000000 PM
Truck 1,29-Jul-16,11.28.29.000000000 PM,343.8,174,419,556,2.8,103,492,2.2,5,88.95717772,66,29-JUL-16 06.28.29.000000000 PM
Truck 1,29-Jul-16,11.58.46.000000000 PM,327.8,143,14,492,2.4,88,431,2.4,4,86.59129533,61,29-JUL-16 06.58.46.000000000 PM
Truck 1,30-Jul-16,12.19.03.000000000 AM,360.9,133,5,576,4.1,203,910,4.8,4,167.5044729,94,29-JUL-16 07.19.03.000000000 PM
Truck 1,30-Jul-16,12.50.49.000000000 AM,295.2,209,835,1446,10.5,92,1211,5.6,6,284.8522393,209,29-JUL-16 07.50.49.000000000 PM
Truck 1,30-Jul-16,01.56.44.000000000 AM,316.3,226,668,727,4.6,2040,1394,7.5,3,223.3392972,153,29-JUL-16 08.56.44.000000000 PM
Truck 1,30-Jul-16,03.24.31.000000000 AM,332.1,124,711,870,6.2,623,1438,7.5,3,235.1687092,171,29-JUL-16 10.24.31.000000000 PM
Truck 1,30-Jul-16,04.56.34.000000000 AM,304.7,130,521,1251,7.2,542,1373,5.7,4,256.4616507,118,29-JUL-16 11.56.34.000000000 PM
Truck 1,30-Jul-16,10.12.17.000000000 AM,299.2,197,410,558,2.5,165,657,3,4,98.42070726,71,30-JUL-16 05.12.17.000000000 AM
Truck 1,30-Jul-16,10.46.51.000000000 AM,334.5,170,122,706,4.4,449,771,3.5,5,141.4797667,82,30-JUL-16 05.46.51.000000000 AM
Truck 1,30-Jul-16,11.25.22.000000000 AM,352.4,124,175,562,3.6,562,767,3.6,4,127.7576489,64,30-JUL-16 06.25.22.000000000 AM
Truck 1,30-Jul-16,01.41.23.000000000 PM,363.8,167,153,471,2,80,1357,7,5,195.8950616,72,30-JUL-16 08.41.23.000000000 AM
Truck 1,30-Jul-16,02.20.05.000000000 PM,350,167,47,1057,7.8,425,1339,5.4,5,246.5249446,72,30-JUL-16 09.20.05.000000000 AM
Truck 1,30-Jul-16,03.12.47.000000000 PM,289.3,121,335,825,5.6,249,1476,4.8,3,240.8468269,94,30-JUL-16 10.12.47.000000000 AM
Truck 1,30-Jul-16,04.05.00.000000000 PM,358.3,133,109,446,3,650,889,3.6,4,149.0505903,72,30-JUL-16 11.05.00.000000000 AM
Truck 1,30-Jul-16,04.43.39.000000000 PM,341.7,232,40,493,2.2,762,1062,4.3,4,188.3242379,78,30-JUL-16 11.43.39.000000000 AM
Truck 1,30-Jul-16,05.28.38.000000000 PM,355.8,172,2479,950,4.6,96,604,3.5,5,125.8649429,122,30-JUL-16 12.28.38.000000000 PM
Truck 1,30-Jul-16,06.43.18.000000000 PM,347.6,111,164,343,1.7,102,343,1.7,4,57.25435374,50,30-JUL-16 01.43.18.000000000 PM
Truck 1,30-Jul-16,07.01.46.000000000 PM,370.5,142,162,539,3,89,1267,6.4,4,209.1440029,78,30-JUL-16 02.01.46.000000000 PM
Truck 1,30-Jul-16,07.39.59.000000000 PM,385.5,141,78,761,6,718,801,2.8,5,156.1482375,87,30-JUL-16 02.39.59.000000000 PM
Truck 1,30-Jul-16,08.53.31.000000000 PM,349.5,155,195,340,2.4,1071,877,3.5,5,163.7190611,82,30-JUL-16 03.53.31.000000000 PM
Truck 1,30-Jul-16,09.39.21.000000000 PM,337.8,130,390,855,5.6,141,1290,5.4,4,236.1150621,108,30-JUL-16 04.39.21.000000000 PM
Truck 1,30-Jul-16,10.28.01.000000000 PM,391.8,225,312,1373,9.1,85,1197,6.2,5,268.7642391,130,30-JUL-16 05.28.01.000000000 PM
Truck 1,30-Jul-16,11.23.29.000000000 PM,309.9,211,629,1173,7.3,62,1270,5.6,5,255.0421212,107,30-JUL-16 06.23.29.000000000 PM
Truck 1,31-Jul-16,12.21.37.000000000 AM,294.8,394,7,241,1.2,93,473,2.4,6,70.03011863,50,30-JUL-16 07.21.37.000000000 PM
